name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS,collegeURL,rushingYDS,rushingTDS
C.J. Spiller,23,RB,Clemson,9.0,2006*,13.0,129.0,938.0,10.0,19.0,210.0,2.0,/cfb/schools/clemson/2006.html,,
C.J. Spiller,23,RB,Clemson,9.0,2007*,13.0,145.0,768.0,3.0,34.0,271.0,2.0,/cfb/schools/clemson/2007.html,,
C.J. Spiller,23,RB,Clemson,9.0,2008*,12.0,116.0,629.0,7.0,34.0,436.0,3.0,/cfb/schools/clemson/2008.html,,
C.J. Spiller,23,RB,Clemson,9.0,2009*,14.0,216.0,1212.0,12.0,36.0,503.0,4.0,/cfb/schools/clemson/2009.html,,
C.J. Spiller,23,RB,,,,14.0,,,,24.0,157.0,1.0,,283.0,0.0
Ryan Mathews,22,RB,Fresno St.,12.0,2007*,11.0,145.0,866.0,14.0,0.0,0.0,0.0,/cfb/schools/fresno-state/2007.html,,
Ryan Mathews,22,RB,Fresno St.,12.0,2008*,8.0,113.0,606.0,6.0,8.0,146.0,2.0,/cfb/schools/fresno-state/2008.html,,
Ryan Mathews,22,RB,Fresno St.,12.0,2009*,12.0,276.0,1808.0,19.0,11.0,122.0,0.0,/cfb/schools/fresno-state/2009.html,,
Ryan Mathews,22,RB,,,,12.0,,,,22.0,145.0,0.0,,678.0,7.0
Jahvid Best,21,RB,California,30.0,2007*,10.0,29.0,221.0,2.0,13.0,74.0,1.0,/cfb/schools/california/2007.html,,
Jahvid Best,21,RB,California,30.0,2008*,12.0,194.0,1580.0,15.0,27.0,246.0,1.0,/cfb/schools/california/2008.html,,
Jahvid Best,21,RB,California,30.0,2009*,9.0,141.0,867.0,12.0,22.0,213.0,4.0,/cfb/schools/california/2009.html,,
Jahvid Best,21,RB,,,,16.0,,,,58.0,487.0,2.0,,555.0,4.0
Toby Gerhart,23,RB,Stanford,51.0,2006,12.0,106.0,375.0,0.0,15.0,124.0,0.0,/cfb/schools/stanford/2006.html,,
Toby Gerhart,23,RB,Stanford,51.0,2007,1.0,12.0,140.0,1.0,0.0,0.0,0.0,/cfb/schools/stanford/2007.html,,
Toby Gerhart,23,RB,Stanford,51.0,2008,12.0,210.0,1136.0,15.0,13.0,114.0,0.0,/cfb/schools/stanford/2008.html,,
Toby Gerhart,23,RB,Stanford,51.0,2009*,13.0,343.0,1871.0,28.0,11.0,157.0,0.0,/cfb/schools/stanford/2009.html,,
Toby Gerhart,23,RB,,,,15.0,,,,21.0,167.0,0.0,,322.0,1.0
Ben Tate,22,RB,Auburn,58.0,2006*,9.0,54.0,392.0,3.0,2.0,-3.0,0.0,/cfb/schools/auburn/2006.html,,
Ben Tate,22,RB,Auburn,58.0,2007*,13.0,202.0,903.0,8.0,16.0,144.0,0.0,/cfb/schools/auburn/2007.html,,
