name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL
Jermaine Gresham,22,TE,Oklahoma,21.0,2006*,13.0,8.0,161.0,1.0,0.0,0.0,0.0,/cfb/schools/oklahoma/2006.html
Jermaine Gresham,22,TE,Oklahoma,21.0,2007*,14.0,37.0,518.0,11.0,0.0,0.0,0.0,/cfb/schools/oklahoma/2007.html
Jermaine Gresham,22,TE,Oklahoma,21.0,2008*,14.0,66.0,950.0,14.0,1.0,5.0,0.0,/cfb/schools/oklahoma/2008.html
Jermaine Gresham,22,TE,,,,15.0,52.0,471.0,4.0,,,,
Rob Gronkowski,21,TE,Arizona,42.0,2007,12.0,28.0,525.0,6.0,0.0,0.0,0.0,/cfb/schools/arizona/2007.html
Rob Gronkowski,21,TE,Arizona,42.0,2008*,10.0,47.0,672.0,10.0,0.0,0.0,0.0,/cfb/schools/arizona/2008.html
Rob Gronkowski,21,TE,,,,16.0,42.0,546.0,10.0,,,,
Ed Dickson,23,TE,Oregon,70.0,2006*,13.0,4.0,45.0,0.0,0.0,0.0,0.0,/cfb/schools/oregon/2006.html
Ed Dickson,23,TE,Oregon,70.0,2007*,13.0,43.0,453.0,3.0,2.0,10.0,0.0,/cfb/schools/oregon/2007.html
Ed Dickson,23,TE,Oregon,70.0,2008*,13.0,35.0,508.0,3.0,3.0,18.0,0.0,/cfb/schools/oregon/2008.html
Ed Dickson,23,TE,Oregon,70.0,2009*,13.0,42.0,551.0,6.0,0.0,0.0,0.0,/cfb/schools/oregon/2009.html
Ed Dickson,23,TE,,,,15.0,11.0,152.0,1.0,,,,
Tony Moeaki,23,TE,Iowa,93.0,2005*,12.0,8.0,112.0,0.0,0.0,0.0,0.0,/cfb/schools/iowa/2005.html
Tony Moeaki,23,TE,Iowa,93.0,2006*,13.0,11.0,140.0,3.0,0.0,0.0,0.0,/cfb/schools/iowa/2006.html
Tony Moeaki,23,TE,Iowa,93.0,2007,4.0,14.0,170.0,3.0,0.0,0.0,0.0,/cfb/schools/iowa/2007.html
Tony Moeaki,23,TE,Iowa,93.0,2008*,9.0,13.0,144.0,1.0,0.0,0.0,0.0,/cfb/schools/iowa/2008.html
Tony Moeaki,23,TE,Iowa,93.0,2009*,10.0,30.0,387.0,4.0,0.0,0.0,0.0,/cfb/schools/iowa/2009.html
Tony Moeaki,23,TE,,,,15.0,47.0,556.0,3.0,,,,
Jimmy Graham,23,TE,Miami (FL),95.0,2009*,13.0,17.0,213.0,5.0,0.0,0.0,0.0,/cfb/schools/miami-fl/2009.html
Jimmy Graham,23,TE,,,,15.0,31.0,356.0,5.0,,,,
Aaron Hernandez,20,TE,Florida,113.0,2007*,13.0,9.0,151.0,2.0,0.0,0.0,0.0,/cfb/schools/florida/2007.html
Aaron Hernandez,20,TE,Florida,113.0,2008*,13.0,34.0,381.0,5.0,0.0,0.0,0.0,/cfb/schools/florida/2008.html
Aaron Hernandez,20,TE,Florida,113.0,2009*,14.0,68.0,850.0,5.0,1.0,16.0,0.0,/cfb/schools/florida/2009.html
Aaron Hernandez,20,TE,,,,14.0,45.0,563.0,6.0,,,,
Dennis Pitta,25,TE,BYU,114.0,2004,11.0,17.0,176.0,2.0,0.0,0.0,0.0,/cfb/schools/brigham-young/2004.html
Dennis Pitta,25,TE,BYU,114.0,2007*,13.0,59.0,813.0,5.0,0.0,0.0,0.0,/cfb/schools/brigham-young/2007.html
Dennis Pitta,25,TE,BYU,114.0,2008*,13.0,83.0,1083.0,6.0,0.0,0.0,0.0,/cfb/schools/brigham-young/2008.html
Dennis Pitta,25,TE,BYU,114.0,2009*,13.0,62.0,829.0,8.0,0.0,0.0,0.0,/cfb/schools/brigham-young/2009.html
Dennis Pitta,25,TE,,,,11.0,1.0,1.0,0.0,,,,
Garrett Graham,24,TE,Wisconsin,118.0,2007*,13.0,30.0,328.0,4.0,0.0,0.0,0.0,/cfb/schools/wisconsin/2007.html
Garrett Graham,24,TE,Wisconsin,118.0,2008*,11.0,40.0,540.0,5.0,0.0,0.0,0.0,/cfb/schools/wisconsin/2008.html
