name,position_x,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL,YPC,YPG,TDPG,RPG,Team_RPG,Team_YPG,Team_TDPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG,age,position_y,nfl_games, nfl_recs, nfl_recYDS, nfl_recTDS
Demaryius Thomas,WR,Georgia Tech,22.0,2009.0,14.0,46.0,1154.0,8.0,1.0,3.0,0.0,/cfb/schools/georgia-tech/2009.html,25.08695652173913,82.42857142857143,0.5714285714285714,3.2857142857142856,5.6,126.7,0.8,30.17857142857143,0.0357142857142855,0.3214285714285714,0.25,3.25,52.25,22,WR,10.0,22.0,283.0,2.0
Dez Bryant,WR,Oklahoma St.,24.0,2009.0,3.0,17.0,323.0,4.0,0.0,0.0,0.0,/cfb/schools/oklahoma-state/2009.html,19.0,107.66666666666669,1.3333333333333333,5.666666666666667,15.1,179.5,1.5,-6.179487179487168,-1.0256410256410255,-0.1282051282051282,1.4615384615384617,6.6923076923076925,113.84615384615384,21,WR,12.0,45.0,561.0,6.0
Arrelious Benn,WR,Illinois,39.0,2009.0,12.0,38.0,490.0,2.0,7.0,23.0,1.0,/cfb/schools/illinois/2009.html,12.894736842105264,40.833333333333336,0.1666666666666666,3.1666666666666665,15.3,193.1,1.3,-47.083333333333336,-2.4166666666666665,-0.0833333333333333,0.25,5.583333333333333,87.91666666666667,21,WR,15.0,25.0,395.0,2.0
Golden Tate,WR,Notre Dame,60.0,2009.0,12.0,93.0,1496.0,15.0,25.0,186.0,2.0,/cfb/schools/notre-dame/2009.html,16.086021505376344,124.66666666666669,1.25,7.75,25.1,323.5,2.5,41.58974358974359,3.2884615384615383,0.4807692307692307,0.7692307692307693,4.461538461538462,83.07692307692308,22,WR,11.0,21.0,227.0,0.0
Damian Williams,WR,USC,77.0,2009.0,12.0,70.0,1010.0,6.0,2.0,16.0,0.0,/cfb/schools/southern-california/2009.html,14.428571428571429,84.16666666666667,0.5,5.833333333333333,17.5,222.3,1.2,17.320512820512832,1.3717948717948714,-0.1923076923076923,0.6923076923076923,4.461538461538462,66.84615384615384,22,WR,16.0,16.0,219.0,0.0
Brandon LaFell,WR,LSU,78.0,2009.0,13.0,57.0,792.0,11.0,5.0,13.0,0.0,/cfb/schools/louisiana-state/2009.html,13.894736842105264,60.92307692307692,0.8461538461538461,4.384615384615385,15.2,181.8,1.5,-10.538461538461547,-0.4615384615384608,0.2307692307692307,0.6153846153846154,4.846153846153846,71.46153846153847,23,WR,14.0,38.0,468.0,1.0
Emmanuel Sanders,WR,SMU,82.0,2009.0,13.0,98.0,1339.0,7.0,1.0,6.0,0.0,/cfb/schools/southern-methodist/2009.html,13.66326530612245,103.0,0.5384615384615384,7.538461538461538,22.0,282.0,1.7,7.200000000000003,0.8384615384615381,-0.3615384615384616,0.9,6.7,95.8,23,WR,13.0,28.0,376.0,2.0
Jordan Shipley,WR,Texas,84.0,2009.0,14.0,116.0,1485.0,13.0,1.0,0.0,0.0,/cfb/schools/texas/2009.html,12.801724137931034,106.07142857142856,0.9285714285714286,8.285714285714286,25.9,273.6,2.1,24.53296703296704,1.4395604395604409,0.0824175824175824,0.8461538461538461,6.846153846153846,81.53846153846153,24,WR,15.0,52.0,600.0,3.0
Eric Decker,WR,Minnesota,87.0,2009.0,8.0,50.0,758.0,5.0,0.0,0.0,0.0,/cfb/schools/minnesota/2009.html,15.16,94.75,0.625,6.25,15.3,207.0,1.2,5.25,-0.75,0.0416666666666666,0.5833333333333334,7.0,89.5,23,WR,14.0,6.0,106.0,1.0
Andre Roberts,WR,The Citadel,88.0,2009.0,8.0,50.0,758.0,5.0,0.0,0.0,0.0,/cfb/schools/minnesota/2009.html,15.16,94.75,0.625,6.25,15.3,207.0,1.2,5.25,-0.75,0.0416666666666666,0.5833333333333334,7.0,89.5,22,WR,15.0,24.0,307.0,2.0
Armanti Edwards,WR,Appalachian St.,89.0,2009.0,8.0,50.0,758.0,5.0,0.0,0.0,0.0,/cfb/schools/minnesota/2009.html,15.16,94.75,0.625,6.25,15.3,207.0,1.2,5.25,-0.75,0.0416666666666666,0.5833333333333334,7.0,89.5,22,WR,3.0,0.0,0.0,0.0
Taylor Price,WR,Ohio,90.0,2009.0,14.0,56.0,784.0,5.0,11.0,103.0,0.0,/cfb/schools/ohio/2009.html,14.0,56.0,0.3571428571428571,4.0,16.3,198.1,1.6,-1.833333333333336,-0.25,-0.0595238095238095,0.4166666666666667,4.25,57.833333333333336,22,WR,1.0,3.0,41.0,0.0
Mardy Gilyard,WR,Cincinnati,99.0,2009.0,13.0,87.0,1191.0,11.0,5.0,16.0,1.0,/cfb/schools/cincinnati/2009.html,13.689655172413794,91.6153846153846,0.8461538461538461,6.6923076923076925,23.9,308.8,3.0,0.4725274725274744,0.9065934065934068,0.0604395604395604,0.7857142857142857,5.785714285714286,91.14285714285714,23,WR,11.0,6.0,63.0,0.0
Mike Williams,WR,Syracuse,101.0,2009.0,7.0,49.0,746.0,6.0,1.0,-7.0,0.0,/cfb/schools/syracuse/2009.html,15.224489795918368,106.57142857142856,0.8571428571428571,7.0,19.1,203.8,1.3,36.82142857142857,2.0,0.0238095238095237,0.8333333333333334,5.0,69.75,23,WR,16.0,65.0,964.0,11.0
Marcus Easley,WR,Connecticut,107.0,2009.0,13.0,48.0,893.0,8.0,1.0,11.0,0.0,/cfb/schools/connecticut/2009.html,18.604166666666668,68.6923076923077,0.6153846153846154,3.692307692307693,16.5,216.5,1.2,60.14685314685315,3.3286713286713288,0.6153846153846154,0.0,0.3636363636363636,8.545454545454545,22,WR,16.0,2.0,13.0,0.0
Jacoby Ford,WR,Clemson,108.0,2009.0,14.0,56.0,779.0,6.0,18.0,122.0,2.0,/cfb/schools/clemson/2009.html,13.910714285714286,55.642857142857146,0.4285714285714285,4.0,15.7,192.0,1.6,1.0274725274725327,-0.2307692307692308,0.1208791208791208,0.3076923076923077,4.230769230769231,54.61538461538461,23,WR,16.0,25.0,470.0,2.0
David Reed,WR,Utah,156.0,2009.0,13.0,81.0,1188.0,5.0,4.0,4.0,0.0,/cfb/schools/utah/2009.html,14.666666666666666,91.3846153846154,0.3846153846153846,6.230769230769231,18.8,229.2,1.5,58.53846153846154,4.307692307692308,-0.0769230769230769,0.4615384615384615,1.9230769230769231,32.84615384615385,23,WR,13.0,0.0,0.0,0.0
