name,position,school,age,draft_pick,season,college_games,conference,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,rush_att_pg,rush_yds_pg,rush_tds_pg,rec_pg,rec_yds_pg,rec_tds_pg,rush_yards_per_att,volume_pg,total_yards,total_tds,scrimmage_yds_pg,tds_pg,yards_per_touch,latest_vs_prev_yards_pg,latest_vs_prev_tds_pg,draft_pick_log,draft_pick_inverse,position_QB,position_RB,position_WR,position_TE
Ashton Jeanty,RB,Boise State,0.0,6.0,2024,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,0.4082482904638631,0,1,0,0
Omarion Hampton,RB,North Carolina,0.0,22.0,2024,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.1354942159291497,0.21320071635561041,0,1,0,0
Quinshon Judkins,RB,Ohio State,0.0,36.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.6109179126442243,0.16666666666666666,0,1,0,0
TreVeyon Henderson,RB,Ohio State,0.0,38.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.6635616461296463,0.16222142113076254,0,1,0,0
RJ Harvey,RB,UCF,0.0,60.0,2024,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.110873864173311,0.12909944487358055,0,1,0,0
Kaleb Johnson,RB,Iowa,0.0,83.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.430816798843313,0.10976425998969035,0,1,0,0
Bhayshul Tuten,RB,Virginia Tech,0.0,104.0,2024,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.653960350157523,0.09805806756909202,0,1,0,0
Cam Skattebo,RB,Arizona State,0.0,105.0,2024,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.663439094112067,0.09759000729485333,0,1,0,0
Trevor Etienne,RB,Georgia,0.0,114.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.74493212836325,0.0936585811581694,0,1,0,0
Woody Marks,RB,USC,0.0,116.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.762173934797756,0.09284766908852593,0,1,0,0
Jarquez Hunter,RB,Auburn,0.0,117.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.770684624465665,0.09245003270420485,0,1,0,0
Dylan Sampson,RB,Tennessee,0.0,126.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.844187086458591,0.0890870806374748,0,1,0,0
Jordan James,RB,Oregon,0.0,147.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.997212273764115,0.08247860988423225,0,1,0,0
Jaydon Blue,RB,Texas,0.0,149.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.0106352940962555,0.08192319205190406,0,1,0,0
DJ Giddens,RB,Kansas State,0.0,151.0,2024,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.0238805208462765,0.08137884587711594,0,1,0,0
