name,position,school,age,draft_pick,season,college_games,conference,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,rec_pg,rec_yds_pg,rec_tds_pg,rush_yds_pg,rush_tds_pg,yards_per_rec,volume_pg,total_yards,total_tds,scrimmage_yds_pg,tds_pg,yards_per_touch,latest_vs_prev_yards_pg,latest_vs_prev_tds_pg,draft_pick_log,draft_pick_inverse,position_QB,position_RB,position_WR,position_TE
Kenyon Sadiq,TE,Oregon,0.0,16.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.833213344056216,0.25,0,0,0,1
Eli Stowers,TE,Vanderbilt,0.0,54.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.007333185232471,0.13608276348795434,0,0,0,1
Nate Boerkircher,TE,Texas A&M,0.0,56.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.04305126783455,0.1336306209562122,0,0,0,1
Marlin Klein,TE,Michigan,0.0,59.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.0943445622221,0.13018891098082389,0,0,0,1
Max Klare,TE,Ohio State,0.0,61.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.127134385045092,0.12803687993289598,0,0,0,1
Sam Roush,TE,Stanford,0.0,69.0,2025,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.248495242049359,0.1203858530857692,0,0,0,1
Oscar Delp,TE,Georgia,0.0,73.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.30406509320417,0.11704114719613057,0,0,0,1
Will Kacmarek,TE,Ohio State,0.0,87.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.477336814478207,0.10721125348377948,0,0,0,1
Eli Raridon,TE,Notre Dame,0.0,95.0,2025,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.564348191467836,0.10259783520851541,0,0,0,1
Matthew Hibner,TE,SMU,0.0,133.0,2025,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.897839799950911,0.086710996952412,0,0,0,1
Justin Joly,TE,NC State,0.0,152.0,2025,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.030437921392435,0.08111071056538127,0,0,0,1
Tanner Koziol,TE,Houston,0.0,164.0,2025,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.10594547390058,0.07808688094430304,0,0,0,1
Riley Nowakowski,TE,Indiana,0.0,169.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.135798437050262,0.07692307692307693,0,0,0,1
Joe Royer,TE,Cincinnati,0.0,170.0,2025,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.14166355650266,0.07669649888473704,0,0,0,1
Josh Cuevas,TE,Alabama,0.0,173.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.159055299214529,0.07602859212697055,0,0,0,1
Seydou Traore,TE,Mississippi State,0.0,180.0,2025,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.198497031265826,0.07453559924999299,0,0,0,1
Bauer Sharp,TE,LSU,0.0,185.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.225746673713202,0.07352146220938077,0,0,0,1
Jack Endries,TE,Texas,0.0,221.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.402677381872279,0.06726727939963124,0,0,0,1
Jaren Kanak,TE,Oklahoma,0.0,225.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.420534999272286,0.06666666666666667,0,0,0,1
Carsen Ryan,TE,BYU,0.0,248.0,2025,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.517452896464707,0.06350006350009525,0,0,0,1
Dallen Bentley,TE,Utah,0.0,256.0,2025,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.54907608489522,0.0625,0,0,0,1
