name,position,school,age,draft_pick,season,college_games,conference,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,rec_pg,rec_yds_pg,rec_tds_pg,rush_yds_pg,rush_tds_pg,yards_per_rec,volume_pg,total_yards,total_tds,scrimmage_yds_pg,tds_pg,yards_per_touch,latest_vs_prev_yards_pg,latest_vs_prev_tds_pg,draft_pick_log,draft_pick_inverse,position_QB,position_RB,position_WR,position_TE
Carnell Tate,WR,Ohio State,0.0,4.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.5,0,0,1,0
Jordyn Tyson,WR,Arizona State,0.0,8.0,2025,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.35355339059327373,0,0,1,0
Makai Lemon,WR,USC,0.0,20.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.044522437723423,0.22360679774997896,0,0,1,0
KC Concepcion,WR,Texas A&M,0.0,24.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.2188758248682006,0.20412414523193154,0,0,1,0
Omar Cooper Jr.,WR,Indiana,0.0,30.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.4339872044851463,0.18257418583505536,0,0,1,0
De'Zhaun Stribling,WR,Ole Miss,0.0,33.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.5263605246161616,0.17407765595569785,0,0,1,0
Denzel Boston,WR,Washington,0.0,39.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.6888794541139363,0.16012815380508713,0,0,1,0
Germie Bernard,WR,Alabama,0.0,47.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.871201010907891,0.14586499149789456,0,0,1,0
Antonio Williams,WR,Clemson,0.0,71.0,2025,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.276666119016055,0.11867816581938533,0,0,1,0
Malachi Fields,WR,Notre Dame,0.0,74.0,2025,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.31748811353631,0.11624763874381928,0,0,1,0
Caleb Douglas,WR,Texas Tech,0.0,75.0,2025,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.330733340286331,0.11547005383792514,0,0,1,0
Zachariah Branch,WR,Georgia,0.0,79.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.382026634673881,0.1125087900926024,0,0,1,0
Ja'Kobi Lane,WR,USC,0.0,80.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.394449154672439,0.11180339887498948,0,0,1,0
Chris Brazzell II,WR,Tennessee,0.0,83.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.430816798843313,0.10976425998969035,0,0,1,0
Ted Hurst,WR,Georgia State,0.0,84.0,2025,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.442651256490317,0.1091089451179962,0,0,1,0
Zavion Thomas,WR,LSU,0.0,89.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.499809670330265,0.105999788000636,0,0,1,0
Chris Bell,WR,Louisville,0.0,94.0,2025,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.553876891600541,0.10314212462587934,0,0,1,0
Brenen Thompson,WR,Mississippi State,0.0,105.0,2025,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.663439094112067,0.09759000729485333,0,0,1,0
Elijah Sarratt,WR,Indiana,0.0,115.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.7535901911063645,0.09325048082403138,0,0,1,0
Kaden Wetjen,WR,Iowa,0.0,121.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.804021044733257,0.09090909090909091,0,0,1,0
Skyler Bell,WR,UConn,0.0,125.0,2025,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.836281906951478,0.08944271909999159,0,0,1,0
Bryce Lance,WR,North Dakota State,0.0,136.0,2025,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.919980925828125,0.08574929257125441,0,0,1,0
Colbie Young,WR,Georgia,0.0,140.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.948759890378168,0.08451542547285165,0,0,1,0
Reggie Virgil,WR,Texas Tech,0.0,143.0,2025,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.969813299576001,0.08362420100070908,0,0,1,0
Kendrick Law,WR,Kentucky,0.0,168.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.1298987149230735,0.07715167498104596,0,0,1,0
Cyrus Allen,WR,Cincinnati,0.0,176.0,2025,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.176149732573829,0.07537783614444091,0,0,1,0
Kevin Coleman Jr.,WR,Missouri,0.0,177.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.181783550292085,0.07516460280028289,0,0,1,0
Barion Brown,WR,LSU,0.0,190.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.25227342804663,0.07254762501100116,0,0,1,0
Josh Cameron,WR,Baylor,0.0,191.0,2025,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.2574953720277815,0.07235746052924216,0,0,1,0
Malik Benson,WR,Oregon,0.0,195.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.278114659230517,0.0716114874039433,0,0,1,0
CJ Daniels,WR,Miami (FL),0.0,197.0,2025,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.288267030694535,0.07124704998790965,0,0,1,0
Emmanuel Henderson Jr.,WR,Kansas,0.0,199.0,2025,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.298317366548036,0.07088812050083358,0,0,1,0
CJ Williams,WR,Stanford,0.0,203.0,2025,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.318119993844216,0.07018624063435965,0,0,1,0
Lewis Bond,WR,Boston College,0.0,204.0,2025,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.3230099791384085,0.07001400420140048,0,0,1,0
Anthony Smith,WR,East Carolina,0.0,218.0,2025,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.389071729816501,0.06772854614785964,0,0,1,0
Deion Burks,WR,Oklahoma,0.0,254.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.541263545158426,0.06274558051381586,0,0,1,0
