name,position,school,age,draft_pick,season,college_games,conference,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,pass_yds_pg,pass_tds_pg,pass_int_pg,rush_yds_pg,rush_tds_pg,completion_pct,pass_rating,yards_per_attempt,volume_pg,total_yards,total_tds,scrimmage_yds_pg,tds_pg,yards_per_touch,latest_vs_prev_yards_pg,latest_vs_prev_tds_pg,draft_pick_log,draft_pick_inverse,nfl_games,nfl_passingYDS,nfl_passingTDS,nfl_passingINT,nfl_rushingYDS,nfl_rushingTDS,fantasy_points,position_QB,position_RB,position_WR,position_TE
Aidan O'Connell,QB,Purdue,25,135,2022.0,12,Big Ten,0,0,1,0,0,290.8333333333333,1.8333333333333333,1.0833333333333333,-6.75,0.08333333333333333,64.1,132.2,6.993987975951904,41.583333333333336,3409,23.0,284.0833333333333,1.9166666666666667,6.831663326653306,-15.25,-0.4999999999999998,4.912654885736052,0.08606629658238704,11.0,2218.0,12.0,7.0,11.0,1.0,129.82,1,0,0,0
Alex McGough,QB,Florida International,22,220,2017.0,13,Other,0,0,0,1,0,215.23076923076923,1.3076923076923077,0.6153846153846154,17.76923076923077,0.38461538461538464,65.4,142.9,7.881690140845071,27.307692307692307,3029,22.0,233.0,1.6923076923076923,8.532394366197183,9.888888888888886,-0.19658119658119655,5.3981627015177525,0.06741998624632421,,,,,,,0.0,1,0,0,0
Anthony Richardson,QB,Florida,21,4,2022.0,12,SEC,0,0,0,0,1,212.41666666666666,1.4166666666666667,0.75,54.5,0.75,53.8,131.0,7.795107033639144,27.25,3203,26.0,266.9166666666667,2.1666666666666665,9.795107033639143,150.66666666666669,1.0416666666666665,1.6094379124341003,0.5,4.0,577.0,3.0,1.0,136.0,4.0,70.68,1,0,0,0
Bailey Zappe,QB,Western Kentucky,23,137,2021.0,14,Other,0,0,0,1,0,426.2142857142857,4.428571428571429,0.7857142857142857,1.2142857142857142,0.21428571428571427,69.1,168.7,8.685589519650655,49.07142857142857,5984,65.0,427.42857142857144,4.642857142857143,8.71033478893741,0.0,0.0,4.927253685157205,0.0854357657716761,4.0,781.0,5.0,3.0,0.0,0.0,45.24,1,0,0,0
Baker Mayfield,QB,Oklahoma,23,1,2017.0,14,SEC,0,0,0,0,1,330.5,3.0714285714285716,0.42857142857142855,22.214285714285715,0.35714285714285715,70.5,198.9,11.452970297029703,28.857142857142858,4938,48.0,352.7142857142857,3.4285714285714284,12.222772277227723,34.09890109890108,-0.10989010989010994,0.6931471805599453,1.0,14.0,3725.0,27.0,14.0,131.0,0.0,242.1,1,0,0,0
Ben DiNucci,QB,James Madison,23,231,2017.0,10,Other,0,0,0,1,0,109.1,0.5,0.5,12.6,0.1,55.7,117.8,6.905063291139241,15.8,1217,6.0,121.7,0.6,7.70253164556962,104.7,0.09999999999999998,5.44673737166631,0.0657951694959769,3.0,219.0,0.0,0.0,22.0,0.0,10.96,1,0,0,0
Bo Nix,QB,Oregon,24,12,2023.0,14,Big Ten,0,0,1,0,0,322.0,3.2142857142857144,0.21428571428571427,16.714285714285715,0.42857142857142855,77.4,188.3,9.591489361702127,33.57142857142857,4742,51.0,338.7142857142857,3.642857142857143,10.089361702127661,23.09890109890108,0.3351648351648353,2.5649493574615367,0.2886751345948129,17.0,3775.0,29.0,12.0,430.0,4.0,310.0,1,0,0,0
Brad Kaaya,QB,Miami (FL),22,215,2016.0,13,ACC,1,0,0,0,0,271.6923076923077,2.076923076923077,0.5384615384615384,-10.461538461538462,0.07692307692307693,62.0,150.3,8.389548693586699,32.38461538461539,3396,28.0,261.2307692307692,2.1538461538461537,8.066508313539192,0.9807692307692264,0.6538461538461537,5.375278407684165,0.06819943394704735,,,,,,,0.0,1,0,0,0
Brandon Allen,QB,Arkansas,24,201,2015.0,13,SEC,0,0,0,0,1,264.61538461538464,2.3076923076923075,0.6153846153846154,8.23076923076923,0.07692307692307693,65.9,166.5,9.297297297297296,28.46153846153846,3547,31.0,272.84615384615387,2.3846153846153846,9.586486486486487,97.0769230769231,0.6923076923076923,5.308267697401205,0.07053456158585983,3.0,515.0,3.0,2.0,39.0,0.0,32.5,1,0,0,0
Brandon Doughty,QB,Western Kentucky,24,223,2015.0,14,Other,0,0,0,1,0,361.07142857142856,3.4285714285714284,0.6428571428571429,-8.714285714285714,0.07142857142857142,71.9,176.5,9.36111111111111,38.57142857142857,4933,49.0,352.35714285714283,3.5,9.135185185185184,-15.181318681318714,-0.4230769230769229,5.4116460518550396,0.06696495301824251,,,,,,,0.0,1,0,0,0
Brett Hundley,QB,UCLA,22,147,2014.0,13,Big Ten,0,0,1,0,0,242.69230769230768,1.6923076923076923,0.38461538461538464,49.53846153846154,0.7692307692307693,69.1,152.7,8.048469387755102,30.153846153846153,3799,32.0,292.2307692307692,2.4615384615384617,9.691326530612246,-1.5384615384615472,-0.23076923076923084,4.997212273764115,0.08247860988423225,4.0,17.0,0.0,1.0,-2.0,0.0,-1.5199999999999998,1,0,0,0
Brock Purdy,QB,Iowa St.,22,262,2021.0,13,Big 12,0,1,0,0,0,245.23076923076923,1.4615384615384615,0.6153846153846154,18.307692307692307,0.07692307692307693,71.7,149.0,7.832923832923833,31.307692307692307,3426,20.0,263.53846153846155,1.5384615384615385,8.417690417690418,2.538461538461547,-0.46153846153846145,5.572154032177765,0.06178020632152154,9.0,1374.0,13.0,4.0,13.0,1.0,106.26,1,0,0,0
Bryce Petty,QB,Baylor,24,103,2014.0,12,Big 12,0,1,0,0,0,321.25,2.4166666666666665,0.5833333333333334,8.416666666666666,0.5,63.1,157.8,9.007009345794392,35.666666666666664,3956,35.0,329.6666666666667,2.9166666666666665,9.242990654205608,-9.487179487179446,-0.6217948717948718,4.6443908991413725,0.09853292781642932,6.0,809.0,3.0,7.0,19.0,0.0,32.26,1,0,0,0
Bryce Young,QB,Alabama,22,1,2022.0,12,SEC,0,0,0,0,1,277.3333333333333,2.6666666666666665,0.4166666666666667,15.416666666666666,0.3333333333333333,64.5,163.2,8.757894736842106,31.666666666666668,3513,36.0,292.75,3.0,9.244736842105263,-32.05000000000001,-0.3333333333333335,0.6931471805599453,1.0,16.0,2877.0,11.0,10.0,253.0,0.0,164.38,1,0,0,0
C.J. Beathard,QB,Iowa,23,104,2016.0,13,Big Ten,0,0,1,0,0,148.3846153846154,1.3076923076923077,0.7692307692307693,-1.0,0.15384615384615385,56.5,122.3,6.408637873754153,23.153846153846153,1916,19.0,147.3846153846154,1.4615384615384615,6.365448504983389,-70.1868131868132,-0.18131868131868134,4.653960350157523,0.09805806756909202,7.0,1430.0,4.0,6.0,136.0,3.0,92.80000000000001,1,0,0,0
Caleb Williams,QB,USC,22,1,2023.0,12,Big Ten,0,0,1,0,0,302.75,2.5,0.4166666666666667,11.833333333333334,0.9166666666666666,68.6,170.1,9.36340206185567,32.333333333333336,3775,41.0,314.5833333333333,3.4166666666666665,9.729381443298967,-36.77380952380952,-0.2976190476190479,0.6931471805599453,1.0,17.0,3541.0,20.0,6.0,489.0,0.0,258.54,1,0,0,0
Cardale Jones,QB,Ohio St.,23,139,2015.0,10,Big Ten,0,0,1,0,0,146.0,0.8,0.5,19.3,0.2,62.5,141.5,8.295454545454545,17.6,1653,10.0,165.3,1.0,9.392045454545453,69.50000000000001,0.4,4.941642422609304,0.08481889296799709,1.0,96.0,0.0,1.0,-1.0,0.0,1.7399999999999998,1,0,0,0
Chad Kelly,QB,Mississippi,23,253,2016.0,9,SEC,0,0,0,0,1,306.44444444444446,2.111111111111111,0.8888888888888888,36.888888888888886,0.5555555555555556,62.5,147.4,8.408536585365853,36.44444444444444,3090,24.0,343.3333333333333,2.6666666666666665,9.420731707317074,-6.051282051282044,-0.4871794871794872,5.537334267018537,0.06286946134619315,,,,,,,0.0,1,0,0,0
Christian Hackenberg,QB,Penn St.,21,51,2015.0,13,Big Ten,0,0,1,0,0,194.23076923076923,1.2307692307692308,0.46153846153846156,-6.153846153846154,0.15384615384615385,53.5,123.9,7.0334261838440115,27.615384615384617,2445,18.0,188.07692307692307,1.3846153846153846,6.81058495821727,-33.69230769230771,0.46153846153846145,3.9512437185814275,0.14002800840280097,,,,,,,0.0,1,0,0,0
Clayton Thorson,QB,Northwestern,24,167,2018.0,14,Big Ten,0,0,1,0,0,227.35714285714286,1.2142857142857142,1.0714285714285714,-7.857142857142857,0.6428571428571429,61.1,121.2,6.50920245398773,34.92857142857143,3073,26.0,219.5,1.8571428571428572,6.284253578732106,-1.0384615384615472,0.08791208791208804,5.123963979403259,0.07738232325341368,,,,,,,0.0,1,0,0,0
Clayton Tune,QB,Houston,24,139,2022.0,13,Big 12,0,1,0,0,0,313.38461538461536,3.076923076923077,0.7692307692307693,41.84615384615385,0.38461538461538464,67.3,158.9,8.213709677419354,38.15384615384615,4618,45.0,355.2307692307692,3.4615384615384617,9.310483870967742,90.94505494505495,1.175824175824176,4.941642422609304,0.08481889296799709,7.0,62.0,0.0,2.0,30.0,1.0,7.48,1,0,0,0
