name,position,school,age,draft_pick,season,college_games,conference,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,rush_att_pg,rush_yds_pg,rush_tds_pg,rec_pg,rec_yds_pg,rec_tds_pg,rush_yards_per_att,volume_pg,total_yards,total_tds,scrimmage_yds_pg,tds_pg,yards_per_touch,latest_vs_prev_yards_pg,latest_vs_prev_tds_pg,draft_pick_log,draft_pick_inverse,nfl_games,nfl_rushingYDS,nfl_rushingTDS,nfl_recs,nfl_recYDS,nfl_recTDS,fantasy_points,position_QB,position_RB,position_WR,position_TE
AJ Dillon,RB,Boston Col.,22,62.0,2019.0,13.0,Other,0,0,0,1,0,24.46153846153846,129.6153846153846,1.0769230769230769,1.0,15.0,0.07692307692307693,5.29874213836478,25.46153846153846,1880.0,15.0,144.6153846153846,1.1538461538461537,5.6797583081571,29.715384615384608,0.053846153846153655,4.143134726391533,0.1270001270001905,11.0,242.0,2.0,2.0,21.0,0.0,40.300000000000004,0,1,0,0
Aaron Jones,RB,Texas-El Paso,22,182.0,2016.0,12.0,Other,0,0,0,1,0,19.083333333333332,147.75,1.4166666666666667,2.3333333333333335,19.416666666666668,0.25,7.74235807860262,21.416666666666668,2006.0,20.0,167.16666666666666,1.6666666666666667,7.80544747081712,9.666666666666657,0.6666666666666667,5.209486152841421,0.07412493166611012,12.0,448.0,4.0,9.0,22.0,0.0,80.00000000000001,0,1,0,0
Alex Collins,RB,Arkansas,22,171.0,2015.0,13.0,SEC,0,0,0,0,1,20.846153846153847,121.3076923076923,1.5384615384615385,1.0,7.3076923076923075,0.0,5.819188191881919,21.846153846153847,1672.0,20.0,128.6153846153846,1.5384615384615385,5.887323943661972,43.30769230769231,0.6153846153846154,5.147494476813453,0.07647191129018725,11.0,125.0,1.0,11.0,84.0,0.0,37.9,0,1,0,0
Alexander Mattison,RB,Boise St.,21,102.0,2018.0,13.0,Other,0,0,0,1,0,23.23076923076923,108.84615384615384,1.3076923076923077,2.076923076923077,13.307692307692308,0.0,4.685430463576159,25.307692307692307,1588.0,17.0,122.15384615384616,1.3076923076923077,4.826747720364742,24.2967032967033,0.3791208791208791,4.634728988229636,0.09901475429766744,13.0,462.0,1.0,10.0,82.0,0.0,70.4,0,1,0,0
Alvin Kamara,RB,Tennessee,22,67.0,2016.0,11.0,SEC,0,0,0,0,1,9.363636363636363,54.18181818181818,0.8181818181818182,3.6363636363636362,35.63636363636363,0.36363636363636365,5.786407766990291,13.0,988.0,13.0,89.81818181818181,1.1818181818181819,6.909090909090909,13.741258741258733,0.4125874125874126,4.219507705176107,0.12216944435630522,16.0,728.0,8.0,81.0,826.0,5.0,314.40000000000003,0,1,0,0
Ameer Abdullah,RB,Nebraska,22,54.0,2014.0,13.0,Big Ten,0,0,1,0,0,20.307692307692307,123.92307692307692,1.4615384615384615,1.6923076923076923,20.692307692307693,0.23076923076923078,6.1022727272727275,22.0,1880.0,22.0,144.6153846153846,1.6923076923076923,6.573426573426573,-3.2307692307692264,0.8461538461538461,4.007333185232471,0.13608276348795434,16.0,597.0,2.0,25.0,183.0,1.0,121.0,0,1,0,0
Anthony McFarland Jr.,RB,Maryland,22,124.0,2019.0,11.0,Big Ten,0,0,1,0,0,10.363636363636363,55.81818181818182,0.7272727272727273,1.5454545454545454,11.454545454545455,0.09090909090909091,5.385964912280702,11.909090909090908,740.0,9.0,67.27272727272727,0.8181818181818182,5.648854961832061,-24.977272727272734,0.4848484848484849,4.8283137373023015,0.08980265101338746,11.0,113.0,0.0,6.0,54.0,0.0,22.700000000000003,0,1,0,0
Antonio Gibson,RB,Memphis,22,66.0,2019.0,14.0,Other,0,0,0,1,0,2.357142857142857,26.357142857142858,0.2857142857142857,2.7142857142857144,52.5,0.5714285714285714,11.181818181818182,5.071428571428571,1104.0,12.0,78.85714285714286,0.8571428571428571,15.549295774647888,71.78571428571429,0.7142857142857142,4.204692619390966,0.12309149097933272,14.0,795.0,11.0,36.0,247.0,0.0,206.2,0,1,0,0
Audric Estime,RB,Notre Dame,21,147.0,2023.0,12.0,Other,0,0,0,1,0,17.5,111.75,1.5,1.4166666666666667,11.833333333333334,0.0,6.385714285714286,18.916666666666668,1483.0,18.0,123.58333333333333,1.5,6.533039647577092,42.42948717948717,0.5769230769230769,4.997212273764115,0.08247860988423225,13.0,310.0,2.0,5.0,27.0,0.0,50.7,0,1,0,0
Benny Snell Jr.,RB,Kentucky,21,122.0,2018.0,13.0,SEC,0,0,0,0,1,22.23076923076923,111.46153846153847,1.2307692307692308,1.3076923076923077,8.076923076923077,0.0,5.013840830449827,23.53846153846154,1554.0,16.0,119.53846153846153,1.2307692307692308,5.078431372549019,11.461538461538453,-0.23076923076923062,4.812184355372417,0.09053574604251853,13.0,426.0,2.0,3.0,23.0,0.0,59.9,0,1,0,0
