name,position,school,age,draft_pick,season,college_games,conference,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,rec_pg,rec_yds_pg,rec_tds_pg,rush_yds_pg,rush_tds_pg,yards_per_rec,volume_pg,total_yards,total_tds,scrimmage_yds_pg,tds_pg,yards_per_touch,latest_vs_prev_yards_pg,latest_vs_prev_tds_pg,draft_pick_log,draft_pick_inverse,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS,fantasy_points,position_QB,position_RB,position_WR,position_TE
A.J. Brown,WR,Mississippi,22,51,2018.0,12,SEC,0,0,0,0,1,7.083333333333333,110.0,0.5,0.0,0.0,15.529411764705882,7.083333333333333,1320,6,110.0,0.5,15.529411764705884,5.666666666666671,-0.41666666666666663,3.9512437185814275,0.14002800840280097,16.0,52.0,1051.0,8.0,205.10000000000002,0,0,1,0
A.T. Perry,WR,Wake Forest,23,195,2022.0,13,ACC,1,0,0,0,0,6.230769230769231,84.3076923076923,0.8461538461538461,0.0,0.0,13.530864197530864,6.230769230769231,1096,11,84.3076923076923,0.8461538461538461,13.530864197530864,-8.049450549450555,-0.22527472527472525,5.278114659230517,0.0716114874039433,10.0,12.0,246.0,4.0,60.6,0,0,1,0
Aaron Burbridge,WR,Michigan St.,22,213,2015.0,14,Big Ten,0,0,1,0,0,6.071428571428571,89.85714285714286,0.5,3.142857142857143,0.0,14.8,6.714285714285714,1302,7,93.0,0.5,13.851063829787234,62.46153846153846,0.4230769230769231,5.365976015021851,0.06851887098275317,16.0,7.0,88.0,0.0,15.8,0,0,1,0
Adonai Mitchell,WR,Texas,21,52,2023.0,14,SEC,0,0,0,0,1,3.9285714285714284,60.357142857142854,0.7857142857142857,0.07142857142857142,0.0,15.363636363636363,4.071428571428571,846,11,60.42857142857143,0.7857142857142857,14.842105263157896,38.0952380952381,0.2857142857142857,3.970291913552122,0.1386750490563073,17.0,23.0,312.0,0.0,54.2,0,0,1,0
Ainias Smith,WR,Texas A&M,23,152,2023.0,12,SEC,0,0,0,0,1,4.416666666666667,66.25,0.16666666666666666,1.75,0.0,15.0,4.833333333333333,816,2,68.0,0.16666666666666666,14.06896551724138,-7.5,-0.33333333333333337,5.030437921392435,0.08111071056538127,7.0,7.0,41.0,1.0,17.1,0,0,1,0
Alec Pierce,WR,Cincinnati,22,53,2021.0,14,Big 12,0,1,0,0,0,3.7142857142857144,63.142857142857146,0.5,0.0,0.0,17.0,3.7142857142857144,884,7,63.142857142857146,0.5,17.0,10.642857142857146,0.0,3.9889840465642745,0.13736056394868904,16.0,41.0,593.0,2.0,112.30000000000001,0,0,1,0
Amara Darboh,WR,Michigan,23,106,2016.0,13,Big Ten,0,0,1,0,0,4.384615384615385,66.3076923076923,0.5384615384615384,0.0,0.0,15.12280701754386,4.384615384615385,862,7,66.3076923076923,0.5384615384615384,15.12280701754386,10.230769230769226,0.1538461538461538,4.672828834461906,0.09712858623572641,16.0,8.0,71.0,0.0,15.100000000000001,0,0,1,0
Amari Cooper,WR,Alabama,21,4,2014.0,14,SEC,0,0,0,0,1,8.857142857142858,123.35714285714286,1.1428571428571428,1.6428571428571428,0.0,13.92741935483871,9.214285714285714,1750,16,125.0,1.1428571428571428,13.565891472868218,55.54545454545455,0.7792207792207791,1.6094379124341003,0.5,16.0,72.0,1070.0,6.0,215.0,0,0,1,0
Amari Rodgers,WR,Clemson,21,85,2020.0,12,ACC,1,0,0,0,0,6.416666666666667,85.0,0.5833333333333334,0.0,0.0,13.246753246753247,6.416666666666667,1020,7,85.0,0.5833333333333334,13.246753246753245,51.0,0.22619047619047622,4.454347296253507,0.10846522890932808,16.0,4.0,45.0,0.0,8.5,0,0,1,0
Amon-Ra St. Brown,WR,USC,21,112,2020.0,6,Big Ten,0,0,1,0,0,6.833333333333333,79.66666666666667,1.1666666666666667,0.0,0.0,11.658536585365853,6.833333333333333,478,7,79.66666666666667,1.1666666666666667,11.658536585365853,-5.102564102564102,0.6282051282051283,4.727387818712341,0.0944911182523068,17.0,90.0,912.0,5.0,211.2,0,0,1,0
