name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS,rushingYDS,rushingTDS
Todd Gurley,21,RB,Georgia,10.0,2012*,14.0,222.0,1385.0,17.0,16.0,117.0,0.0,,
Todd Gurley,21,RB,Georgia,10.0,2013*,10.0,165.0,989.0,10.0,37.0,441.0,6.0,,
Todd Gurley,21,RB,Georgia,10.0,2014*,6.0,123.0,911.0,9.0,12.0,57.0,0.0,,
Todd Gurley,21,RB,,,,13.0,,,,21.0,188.0,0.0,1106.0,10.0
Melvin Gordon,22,RB,Wisconsin,15.0,2011*,4.0,20.0,98.0,1.0,0.0,0.0,0.0,,
Melvin Gordon,22,RB,Wisconsin,15.0,2012*,14.0,62.0,621.0,3.0,2.0,65.0,1.0,,
Melvin Gordon,22,RB,Wisconsin,15.0,2013*,13.0,206.0,1609.0,12.0,1.0,10.0,0.0,,
Melvin Gordon,22,RB,Wisconsin,15.0,2014*,14.0,343.0,2587.0,29.0,19.0,153.0,3.0,,
Melvin Gordon,22,RB,,,,14.0,,,,33.0,192.0,0.0,641.0,0.0
T.J. Yeldon,21,RB,Alabama,36.0,2012*,14.0,175.0,1108.0,12.0,11.0,131.0,1.0,,
T.J. Yeldon,21,RB,Alabama,36.0,2013*,12.0,207.0,1235.0,14.0,20.0,183.0,0.0,,
T.J. Yeldon,21,RB,Alabama,36.0,2014*,13.0,194.0,979.0,11.0,15.0,180.0,1.0,,
T.J. Yeldon,21,RB,,,,12.0,,,,36.0,279.0,1.0,740.0,2.0
Ameer Abdullah,22,RB,Nebraska,54.0,2011*,13.0,42.0,150.0,3.0,1.0,11.0,0.0,,
Ameer Abdullah,22,RB,Nebraska,54.0,2012*,14.0,226.0,1137.0,8.0,24.0,178.0,2.0,,
Ameer Abdullah,22,RB,Nebraska,54.0,2013*,13.0,281.0,1690.0,9.0,26.0,232.0,2.0,,
Ameer Abdullah,22,RB,Nebraska,54.0,2014*,13.0,264.0,1611.0,19.0,22.0,269.0,3.0,,
Ameer Abdullah,22,RB,,,,16.0,,,,25.0,183.0,1.0,597.0,2.0
Tevin Coleman,22,RB,Indiana,73.0,2012,12.0,51.0,225.0,1.0,10.0,49.0,0.0,,
Tevin Coleman,22,RB,Indiana,73.0,2013,9.0,131.0,958.0,12.0,19.0,193.0,0.0,,
Tevin Coleman,22,RB,Indiana,73.0,2014,12.0,270.0,2036.0,15.0,25.0,141.0,0.0,,
Tevin Coleman,22,RB,,,,12.0,,,,2.0,14.0,0.0,392.0,1.0
Duke Johnson,21,RB,Miami (FL),77.0,2012,12.0,139.0,947.0,10.0,27.0,221.0,1.0,,
Duke Johnson,21,RB,Miami (FL),77.0,2013*,8.0,145.0,920.0,6.0,4.0,77.0,0.0,,
Duke Johnson,21,RB,Miami (FL),77.0,2014*,13.0,242.0,1652.0,10.0,38.0,421.0,3.0,,
Duke Johnson,21,RB,,,,16.0,,,,61.0,534.0,2.0,379.0,0.0
David Johnson,23,RB,Northern Iowa,86.0,2012*,11.0,0.0,0.0,0.0,3.0,59.0,1.0,,
David Johnson,23,RB,Northern Iowa,86.0,2013*,13.0,0.0,0.0,0.0,43.0,573.0,4.0,,
David Johnson,23,RB,Northern Iowa,86.0,2014*,13.0,0.0,0.0,0.0,24.0,269.0,0.0,,
David Johnson,23,RB,,,,16.0,,,,36.0,457.0,4.0,581.0,8.0
Matt Jones,22,RB,Florida,95.0,2012*,12.0,52.0,275.0,3.0,3.0,10.0,0.0,,
Matt Jones,22,RB,Florida,95.0,2013,5.0,79.0,339.0,2.0,5.0,25.0,0.0,,
Matt Jones,22,RB,Florida,95.0,2014*,11.0,166.0,817.0,6.0,11.0,65.0,1.0,,
Matt Jones,22,RB,,,,13.0,,,,19.0,304.0,1.0,490.0,3.0
Jeremy Langford,23,RB,Michigan St.,106.0,2011*,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jeremy Langford,23,RB,Michigan St.,106.0,2012*,9.0,9.0,23.0,0.0,0.0,0.0,0.0,,
Jeremy Langford,23,RB,Michigan St.,106.0,2013*,14.0,292.0,1422.0,18.0,28.0,157.0,1.0,,
Jeremy Langford,23,RB,Michigan St.,106.0,2014*,13.0,276.0,1522.0,22.0,11.0,62.0,0.0,,
Jeremy Langford,23,RB,,,,16.0,,,,22.0,279.0,1.0,537.0,6.0
Javorius Allen,24,RB,USC,125.0,2012*,3.0,6.0,32.0,0.0,0.0,0.0,0.0,,
Javorius Allen,24,RB,USC,125.0,2013*,13.0,135.0,785.0,14.0,22.0,252.0,1.0,,
Javorius Allen,24,RB,USC,125.0,2014*,13.0,276.0,1489.0,11.0,41.0,458.0,1.0,,
Javorius Allen,24,RB,,,,16.0,,,,45.0,353.0,2.0,514.0,1.0
Mike Davis,22,RB,South Carolina,126.0,2012*,12.0,52.0,275.0,2.0,4.0,35.0,0.0,,
Mike Davis,22,RB,South Carolina,126.0,2013*,12.0,203.0,1183.0,11.0,34.0,352.0,0.0,,
Mike Davis,22,RB,South Carolina,126.0,2014*,13.0,199.0,982.0,9.0,32.0,368.0,2.0,,
Mike Davis,22,RB,,,,6.0,,,,7.0,38.0,0.0,58.0,0.0
David Cobb,22,RB,Minnesota,138.0,2011,4.0,10.0,57.0,0.0,0.0,0.0,0.0,,
