name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL
Demaryius Thomas,22,WR,Georgia Tech,22.0,2007*,13.0,35.0,558.0,4.0,1.0,0.0,0.0,/cfb/schools/georgia-tech/2007.html
Demaryius Thomas,22,WR,Georgia Tech,22.0,2008*,12.0,39.0,627.0,3.0,2.0,29.0,0.0,/cfb/schools/georgia-tech/2008.html
Demaryius Thomas,22,WR,Georgia Tech,22.0,2009*,14.0,46.0,1154.0,8.0,1.0,3.0,0.0,/cfb/schools/georgia-tech/2009.html
Demaryius Thomas,22,WR,,,,10.0,22.0,283.0,2.0,,,,
Dez Bryant,21,WR,Oklahoma St.,24.0,2007*,12.0,43.0,622.0,6.0,2.0,16.0,0.0,/cfb/schools/oklahoma-state/2007.html
Dez Bryant,21,WR,Oklahoma St.,24.0,2008*,13.0,87.0,1480.0,19.0,0.0,0.0,0.0,/cfb/schools/oklahoma-state/2008.html
Dez Bryant,21,WR,Oklahoma St.,24.0,2009*,3.0,17.0,323.0,4.0,0.0,0.0,0.0,/cfb/schools/oklahoma-state/2009.html
Dez Bryant,21,WR,,,,12.0,45.0,561.0,6.0,,,,
Dexter McCluster,21,WR,,,,,,,,,,,
Arrelious Benn,21,WR,Illinois,39.0,2007*,13.0,54.0,676.0,2.0,32.0,158.0,0.0,/cfb/schools/illinois/2007.html
Arrelious Benn,21,WR,Illinois,39.0,2008,12.0,67.0,1055.0,3.0,23.0,101.0,2.0,/cfb/schools/illinois/2008.html
Arrelious Benn,21,WR,Illinois,39.0,2009,12.0,38.0,490.0,2.0,7.0,23.0,1.0,/cfb/schools/illinois/2009.html
Arrelious Benn,21,WR,,,,15.0,25.0,395.0,2.0,,,,
Golden Tate,22,WR,Notre Dame,60.0,2007,12.0,6.0,131.0,1.0,1.0,4.0,0.0,/cfb/schools/notre-dame/2007.html
Golden Tate,22,WR,Notre Dame,60.0,2008*,13.0,58.0,1080.0,10.0,5.0,37.0,1.0,/cfb/schools/notre-dame/2008.html
Golden Tate,22,WR,Notre Dame,60.0,2009,12.0,93.0,1496.0,15.0,25.0,186.0,2.0,/cfb/schools/notre-dame/2009.html
Golden Tate,22,WR,,,,11.0,21.0,227.0,0.0,,,,
Damian Williams,22,WR,USC,77.0,2006*,13.0,19.0,235.0,2.0,1.0,5.0,0.0,/cfb/schools/arkansas/2006.html
Damian Williams,22,WR,USC,77.0,2008*,13.0,58.0,869.0,9.0,4.0,43.0,0.0,/cfb/schools/southern-california/2008.html
Damian Williams,22,WR,USC,77.0,2009*,12.0,70.0,1010.0,6.0,2.0,16.0,0.0,/cfb/schools/southern-california/2009.html
Damian Williams,22,WR,,,,16.0,16.0,219.0,0.0,,,,
Brandon LaFell,23,WR,LSU,78.0,2006*,11.0,5.0,140.0,2.0,0.0,0.0,0.0,/cfb/schools/louisiana-state/2006.html
Brandon LaFell,23,WR,LSU,78.0,2007*,14.0,50.0,656.0,4.0,1.0,18.0,1.0,/cfb/schools/louisiana-state/2007.html
Brandon LaFell,23,WR,LSU,78.0,2008*,13.0,63.0,929.0,8.0,2.0,6.0,0.0,/cfb/schools/louisiana-state/2008.html
Brandon LaFell,23,WR,LSU,78.0,2009*,13.0,57.0,792.0,11.0,5.0,13.0,0.0,/cfb/schools/louisiana-state/2009.html
Brandon LaFell,23,WR,,,,14.0,38.0,468.0,1.0,,,,
