name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS
Amari Cooper,21,WR,Alabama,4,2012*,14,59,1000,11,0,0,0
Amari Cooper,21,WR,Alabama,4,2013*,11,45,736,4,1,28,0
Amari Cooper,21,WR,Alabama,4,2014*,14,124,1727,16,5,23,0
Kevin White,23,WR,West Virginia,7,2013,10,35,507,5,0,0,0
Kevin White,23,WR,West Virginia,7,2014*,13,109,1447,10,0,0,0
DeVante Parker,22,WR,Louisville,14,2011*,11,18,291,6,0,0,0
DeVante Parker,22,WR,Louisville,14,2012*,13,40,744,10,0,0,0
DeVante Parker,22,WR,Louisville,14,2013*,12,55,885,12,0,0,0
DeVante Parker,22,WR,Louisville,14,2014*,7,43,855,5,0,0,0
Nelson Agholor,22,WR,USC,20,2012*,13,18,341,2,1,7,0
Nelson Agholor,22,WR,USC,20,2013*,14,56,918,6,2,8,0
Nelson Agholor,22,WR,USC,20,2014*,13,104,1313,12,4,3,0
Breshad Perriman,21,WR,Central Florida,26,2012*,14,26,388,3,0,0,0
Breshad Perriman,21,WR,Central Florida,26,2013*,12,39,811,4,0,0,0
Breshad Perriman,21,WR,Central Florida,26,2014*,13,50,1044,9,1,0,0
Phillip Dorsett,22,WR,Miami (FL),29,2011,12,14,147,1,0,0,0
Phillip Dorsett,22,WR,Miami (FL),29,2012,12,58,842,4,5,8,0
Phillip Dorsett,22,WR,Miami (FL),29,2013*,7,13,272,2,0,0,0
Phillip Dorsett,22,WR,Miami (FL),29,2014*,13,36,871,10,2,-6,0
Devin Smith,23,WR,Ohio St.,37,2011*,13,14,294,4,0,0,0
Devin Smith,23,WR,Ohio St.,37,2012,12,30,618,6,1,2,0
Devin Smith,23,WR,Ohio St.,37,2013*,14,44,660,8,0,0,0
Devin Smith,23,WR,Ohio St.,37,2014*,15,33,931,12,0,0,0
Dorial Green-Beckham,22,WR,Oklahoma,40,2012,11,28,395,5,5,16,0
Dorial Green-Beckham,22,WR,Oklahoma,40,2013*,14,59,883,12,1,3,0
Tyler Lockett,22,WR,Kansas St.,69,2011*,9,18,246,3,10,110,0
Tyler Lockett,22,WR,Kansas St.,69,2012*,13,44,687,4,7,55,0
Tyler Lockett,22,WR,Kansas St.,69,2013*,12,81,1262,11,2,10,0
Tyler Lockett,22,WR,Kansas St.,69,2014*,13,106,1515,11,3,17,0
Jaelen Strong,21,WR,Arizona St.,70,2013*,14,75,1122,7,0,0,0
Jaelen Strong,21,WR,Arizona St.,70,2014*,12,82,1165,10,0,0,0
Chris Conley,22,WR,Georgia,76,2011*,11,16,288,2,0,0,0
Chris Conley,22,WR,Georgia,76,2012*,14,20,342,6,0,0,0
Chris Conley,22,WR,Georgia,76,2013*,11,45,651,4,0,0,0
Chris Conley,22,WR,Georgia,76,2014*,13,36,657,8,0,0,0
Sammie Coates,22,WR,Auburn,87,2012,12,6,114,2,0,0,0
Sammie Coates,22,WR,Auburn,87,2013*,13,42,902,7,0,0,0
Sammie Coates,22,WR,Auburn,87,2014*,12,34,741,4,0,0,0
Ty Montgomery,22,WR,Stanford,94,2011*,13,24,350,2,2,42,1
Ty Montgomery,22,WR,Stanford,94,2012*,11,26,213,0,1,-11,0
Ty Montgomery,22,WR,Stanford,94,2013*,14,61,958,10,13,159,2
Ty Montgomery,22,WR,Stanford,94,2014*,11,61,604,3,23,144,1
Jamison Crowder,22,WR,Duke,105,2011,12,14,163,1,8,42,0
Jamison Crowder,22,WR,Duke,105,2012*,13,76,1074,8,3,13,0
Jamison Crowder,22,WR,Duke,105,2013*,14,108,1360,8,8,71,1
Jamison Crowder,22,WR,Duke,105,2014*,13,85,1044,6,2,9,0
Justin Hardy,23,WR,East Carolina,107,2011,10,64,658,6,0,0,0
Justin Hardy,23,WR,East Carolina,107,2012*,13,88,1105,11,0,0,0
Justin Hardy,23,WR,East Carolina,107,2013*,13,114,1284,8,0,0,0
Justin Hardy,23,WR,East Carolina,107,2014*,13,121,1494,10,1,7,1
Vince Mayle,24,WR,Washington St.,123,2013*,11,42,539,7,0,0,0
Vince Mayle,24,WR,Washington St.,123,2014,12,106,1483,9,0,0,0
DeAndre Smelter,23,WR,Georgia Tech,132,2013*,12,21,345,4,1,12,0
DeAndre Smelter,23,WR,Georgia Tech,132,2014*,12,35,715,7,3,103,1
Rashad Greene,22,WR,Florida St.,139,2011*,9,38,596,7,3,44,0
Rashad Greene,22,WR,Florida St.,139,2012*,14,57,741,6,4,30,1
