player_name,position,college_receiving_yards
Tetairoa McMillan,WR,1319
Jeremiah Smith,WR,1315
Coleman Owen,WR,1245
Kyle Williams,WR,1198
Jaylin Noel,WR,1194
Jayden Higgins,WR,1183
Andrew Armstrong,WR,1140
Jamaal Pritchett,WR,1127
Xavier Restrepo,WR,1127
Tai Felton,WR,1124
Jordyn Tyson,WR,1101
Mac Dalena,WR,1065
Corey Rucker,WR,1053
Jerjuan Newton,WR,1048
Devonte Ross,WR,1043
Ricky White,WR,1041
Jack Bech,WR,1034
Mario Williams,WR,1031
Tre Harris,WR,1030
Josh Kelly,WR,1023
Jackson Meeks,WR,1021
Ja'Corey Brooks,WR,1013
Emeka Egbuka,WR,1011
Matthew Golden,WR,987
Tru Edwards,WR,986
Pat Bryant,WR,984
Justin Lockhart,WR,983
Keandre Lambert-Smith,WR,981
Ted Hurst,WR,961
Elijah Sarratt,WR,957
Junior Vandeross III,WR,957
Roc Taylor,WR,950
Trebor Pena,WR,941
Oronde Gadsden II,WR,934
Kevin Coleman Jr.,WR,932
LaJohntay Wester,WR,931
Kisean Johnson,WR,925
Jordan Watkins,WR,906
Antonio Williams,WR,904
Cam Camper,WR,903
Trent Walker,WR,901
Tez Johnson,WR,898
Giles Jackson,WR,893
Aaron Anderson,WR,884
Theo Wease,WR,884
De'Zhaun Stribling,WR,882
Caleb Douglas,WR,877
Cayden Lee,WR,874
Omari Kelly,WR,869
Kyren Lacy,WR,866
Ryan Williams,WR,865
Daniel Jackson,WR,863
Skyler Bell,WR,860
Chase Roberts,WR,854
Jaden Smith,WR,849
Kaedin Robinson,WR,840
Luke Wysong,WR,840
Jakobie Keeney-James,WR,839
Denzel Boston,WR,834
Jalen Royals,WR,834
Adrian Norton,WR,831
Elic Ayomanor,WR,831
Jayce Brown,WR,823
DT Sheffield,WR,822
Kamdyn Benjamin,WR,822
Isiah Paige,WR,819
Javon Tracy,WR,818
Arian Smith,WR,817
Reginald Virgil,WR,816
Konata Mumpfield,WR,813
Malachi Fields,WR,808
Jaden Williams,WR,807
Elijhah Badger,WR,806
Cam Vaughn,WR,803
Anthony Smith,WR,799
Eli Pancol,WR,798
O'Mega Blake,WR,795
Germie Bernard,WR,794
Easton Messer,WR,793
Dante Wright,WR,792
Chimere Dike,WR,783
Matt Sykes,WR,782
Sean Atkins,WR,781
Kobe Hudson,WR,770
Brennan Presley,WR,767
Makai Lemon,WR,764
Eric McAlister,WR,762
Dymere Miller,WR,757
Damon Ward,WR,755
Eric Singleton Jr.,WR,754
Josh Cameron,WR,754
Jacolby George,WR,752
Makai Jackson,WR,745
Hudson Clement,WR,741
Kenny Odom,WR,741
Xzavier Henderson,WR,738
Chris Bell,WR,737
Carnell Tate,WR,733
John Paul Richardson,WR,733
Cortez Braham,WR,724
Nicholas Cenacle,WR,721
Harrison Wallace III,WR,720
Traeshon Holden,WR,718
Dane Key,WR,715
Bryant Wesco Jr.,WR,708
Chrishon McCray,WR,705
Darius Lassiter,WR,703
Dorian Singer,WR,702
Malik Rutherford,WR,702
Luke Floriea,WR,699
Luke Grimm,WR,690
Lewis Bond,WR,689
Dean Patterson,WR,685
Elijah Spencer,WR,684
Kris Hutson,WR,683
Joey Hobert,WR,680
Chase Sowell,WR,678
Demeer Blankumsee,WR,677
Ian Strong,WR,676
Luther Burden,WR,676
Vinny Anthony,WR,672
Amare Thomas,WR,670
Roderick Daniels Jr.,WR,663
Dont'e Thornton,WR,661
Terry Lockett Jr.,WR,660
Derwin Burgess Jr.,WR,659
Kameron Shanks,WR,656
Coy Eakin,WR,652
Zakhari Franklin,WR,652
Markus Allen,WR,651
T.J. Moore,WR,651
Victor Snow,WR,651
Jeremiah Webb,WR,649
Nick Marsh,WR,649
Oran Singleton,WR,639
Omarion Dollison,WR,633
Kole Wilson,WR,630
Pofele Ashlock,WR,629
Kaden Prather,WR,624
Will Sheppard,WR,621
Louis Brown,WR,620
Isaiah Horton,WR,616
Josh Dallas,WR,614
Evan Stewart,WR,613
Savion Williams,WR,611
Dominic Lovett,WR,607
Yamir Knight,WR,605
A.J. Henning,WR,603
Dalen Cobb,WR,599
Bryce Kirtz,WR,598
Cam Coleman,WR,598
Dontae Fleming,WR,598
Omar Cooper Jr.,WR,594
Jaden Greathouse,WR,592
Omari Hayes,WR,590
Joseph Williams,WR,588
Montorie Foster,WR,588
Jahmal Banks,WR,587
J.J. Jones,WR,582
James Tucker,WR,579
Nyziah Hunter,WR,578
Christian Fitzpatrick,WR,576
Noah Thomas,WR,574
Darrell Gill Jr.,WR,570
Malcolm Johnson Jr.,WR,569
Ashtyn Hawkins,WR,567
Jalen Moss,WR,563
Simeon Evans,WR,559
Quentin Skinner,WR,557
Winston Wright,WR,556
Antwane Wells Jr.,WR,553
Isaac TeSlaa,WR,545
Kenneth Womack,WR,545
Blair Conwright,WR,542
Isaiah Bond,WR,540
Kenny Johnson,WR,537
JJ Jenkins,WR,536
Willie McCoy,WR,536
Kam Thomas,WR,532
Cam Pickett,WR,528
Keyshawn Smith,WR,527
Kyrese Rowan,WR,526
Emmett Mosley V,WR,525
Ja'Kobi Lane,WR,525
Raylen Sharpe,WR,523
Marcus Bellon,WR,522
Rashod Owens,WR,515
Jacob De Jesus,WR,512
Sam Brown,WR,509
Stephen Gosnell,WR,506
TJ Sheffield,WR,505
Zachariah Branch,WR,503
Courtney Jackson,WR,494
Isaiah Sategna,WR,491
Beaux Collins,WR,490
Jeremiah Hunter,WR,490
Harvey Broussard,WR,486
Reed Harris,WR,486
Koby Drake,WR,484
Treyshun Hurry,WR,481
CJ Daniels,WR,480
Jaylen Sargent,WR,480
Chris Carpenter,WR,479
Monaray Baldwin,WR,478
Noah Rogers,WR,478
Jimmy Holiday,WR,476
Latrell Caples,WR,473
Bru McCoy,WR,472
Josh Meredith,WR,472
Ryan Wingo,WR,472
Chase Hendricks,WR,471
Sean Brown,WR,470
Yulkeith Brown,WR,470
Trey Goodman,WR,469
Dillon Bell,WR,466
Jaylin Lane,WR,466
Myles Price,WR,466
Horatio Fields,WR,463
Kyron Ware-Hudson,WR,462
Kevin Concepcion,WR,460
Ja'Shaun Poke,WR,459
Casey Reynolds,WR,457
DeAndre Moore Jr.,WR,456
Michael Pettway,WR,454
Malcolm Simmons,WR,451
Tony Johnson,WR,449
Ke'Shawn Williams,WR,448
Jacory Barney Jr.,WR,447
Bobby Golden,WR,446
Sean Brown,WR,445
Cameron Ross,WR,443
Jimmy Horn Jr.,WR,441
Jordan Napier,WR,440
Caleb Goodie,WR,436
Otto Tia,WR,434
Yannick Smith,WR,434
Hal Presley,WR,429
Raphael Williams,WR,426
