name,age,position,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS
Devin Funchess,21,TE,16.0,31.0,473.0,5.0
Maxx Williams,21,TE,14.0,32.0,268.0,1.0
Clive Walford,23,TE,16.0,28.0,329.0,3.0
Tyler Kroft,22,TE,16.0,11.0,129.0,1.0
Jeff Heuerman,22,TE,12.0,9.0,141.0,0.0
Blake Bell,24,TE,14.0,15.0,186.0,0.0
MyCole Pruitt,23,TE,16.0,10.0,89.0,0.0
C.J. Uzomah,22,TE,5.0,1.0,4.0,0.0
Jesse James,21,TE,8.0,8.0,56.0,1.0
Nick Boyle,22,TE,11.0,18.0,153.0,0.0
James O'Shaughnessy,23,TE,7.0,6.0,87.0,0.0
Nick O'Leary,23,TE,4.0,1.0,37.0,0.0
Malcolm Johnson,23,TE,12.0,4.0,15.0,0.0
Randall Telfer,23,TE,14.0,2.0,4.0,0.0
A.J. Derby,23,TE,10.0,16.0,160.0,0.0
Kennard Backman,22,TE,,,,
Ben Koyack,22,TE,14.0,19.0,161.0,1.0
Geoff Swaim,21,TE,4.0,1.0,0.0,0.0
Rory Anderson,22,TE,,,,
Gerald Christian,24,TE,3.0,1.0,14.0,0.0
Hunter Henry,21,TE,15.0,36.0,478.0,8.0
Austin Hooper,21,TE,14.0,19.0,271.0,3.0
Nick Vannett,23,TE,9.0,3.0,32.0,0.0
Tyler Higbee,23,TE,16.0,11.0,85.0,1.0
Seth Devalve,23,TE,12.0,10.0,127.0,2.0
Temarrick Hemingway,23,TE,8.0,0.0,0.0,0.0
Jerell Adams,23,TE,13.0,16.0,122.0,1.0
David Morgan,23,TE,12.0,1.0,4.0,0.0
Rico Gathers,22,TE,15.0,3.0,45.0,0.0
Thomas Duarte,21,TE,,,,
Beau Sandland,23,TE,,,,
O.J. Howard,22,TE,14.0,26.0,432.0,6.0
Evan Engram,23,TE,15.0,64.0,722.0,6.0
David Njoku,21,TE,16.0,32.0,386.0,4.0
Gerald Everett,23,TE,16.0,16.0,244.0,2.0
Adam Shaheen,22,TE,13.0,12.0,127.0,3.0
Jonnu Smith,22,TE,16.0,18.0,157.0,2.0
Michael Roberts,23,TE,15.0,4.0,46.0,0.0
Jake Butt,22,TE,3.0,8.0,85.0,0.0
George Kittle,23,TE,15.0,43.0,515.0,2.0
Jordan Leggett,22,TE,15.0,14.0,114.0,1.0
Jeremy Sprinkle,23,TE,11.0,2.0,13.0,1.0
Eric Saubert,23,TE,14.0,0.0,0.0,0.0
Bucky Hodges,22,TE,,,,
Mason Schreck,23,TE,6.0,0.0,0.0,0.0
Hayden Hurst,25,TE,12.0,13.0,163.0,1.0
Mike Gesicki,22,TE,16.0,22.0,202.0,0.0
Dallas Goedert,23,TE,16.0,33.0,334.0,4.0
Mark Andrews,23,TE,16.0,34.0,552.0,3.0
Jordan Akins,26,TE,16.0,17.0,225.0,0.0
Ian Thomas,22,TE,16.0,36.0,333.0,2.0
Chris Herndon,22,TE,16.0,39.0,502.0,4.0
Will Dissly,22,TE,4.0,8.0,156.0,2.0
Durham Smythe,23,TE,15.0,6.0,50.0,0.0
Dalton Schultz,22,TE,11.0,12.0,116.0,0.0
Troy Fumagalli,23,TE,11.0,6.0,38.0,1.0
Tyler Conklin,23,TE,16.0,5.0,77.0,0.0
Jaylen Samuels,22,TE,,,,
Jordan Thomas,22,TE,16.0,20.0,215.0,4.0
Ryan Izzo,22,TE,6.0,6.0,114.0,1.0
T.J. Hockenson,22,TE,12.0,32.0,367.0,2.0
Noah Fant,21,TE,16.0,40.0,562.0,3.0
Irv Smith Jr.,21,TE,16.0,36.0,311.0,2.0
Drew Sample,23,TE,9.0,5.0,30.0,0.0
Josh Oliver,22,TE,4.0,3.0,15.0,0.0
Jace Sternberger,23,TE,6.0,0.0,0.0,0.0
Kahale Warring,22,TE,7.0,3.0,35.0,0.0
Dawson Knox,22,TE,15.0,28.0,388.0,2.0
Trevon Wesco,23,TE,16.0,2.0,47.0,0.0
Foster Moreau,22,TE,13.0,21.0,174.0,5.0
Zach Gentry,22,TE,4.0,1.0,4.0,0.0
Kaden Smith,22,TE,9.0,31.0,268.0,3.0
Isaac Nauta,22,TE,6.0,2.0,13.0,0.0
Tommy Sweeney,24,TE,6.0,8.0,114.0,0.0
Alizé Mack,22,TE,,,,
Caleb Wilson,23,TE,,,,
Cole Kmet,21,TE,16.0,28.0,243.0,2.0
Devin Asiasi,23,TE,9.0,2.0,39.0,1.0
Josiah Deguara,23,TE,2.0,1.0,12.0,0.0
Dalton Keene,21,TE,6.0,3.0,16.0,0.0
Adam Trautman,23,TE,15.0,15.0,171.0,1.0
Harrison Bryant,22,TE,15.0,24.0,238.0,3.0
Albert Okwuegbunam,22,TE,4.0,11.0,121.0,1.0
Colby Parkinson,21,TE,6.0,2.0,16.0,0.0
Brycen Hopkins,23,TE,5.0,0.0,0.0,0.0
Charlie Woerner,22,TE,14.0,3.0,36.0,0.0
Tyler Davis,23,TE,8.0,0.0,0.0,0.0
Stephen Sullivan,23,TE,1.0,0.0,0.0,0.0
Kyle Pitts,20,TE,17.0,68.0,1026.0,1.0
Pat Freiermuth,22,TE,16.0,60.0,497.0,7.0
Hunter Long,23,TE,7.0,1.0,8.0,0.0
Tommy Tremble,21,TE,16.0,20.0,180.0,1.0
Tre' McKitty,22,TE,11.0,6.0,45.0,0.0
John Bates,23,TE,17.0,20.0,249.0,1.0
Kylen Granson,23,TE,17.0,11.0,106.0,0.0
Luke Farrell,23,TE,15.0,7.0,56.0,0.0
Brevin Jordan,21,TE,9.0,20.0,178.0,3.0
Noah Gray,22,TE,16.0,7.0,36.0,1.0
Zach Davidson,23,TE,2.0,1.0,5.0,0.0
Trey McBride,22,TE,16.0,29.0,265.0,1.0
Jelani Woods,23,TE,15.0,25.0,312.0,3.0
Greg Dulcich,22,TE,10.0,33.0,411.0,2.0
Jeremy Ruckert,22,TE,9.0,1.0,8.0,0.0
Cade Otton,23,TE,16.0,42.0,391.0,2.0
Daniel Bellinger,21,TE,12.0,30.0,268.0,2.0
Charlie Kolar,23,TE,2.0,4.0,49.0,0.0
Jake Ferguson,23,TE,16.0,19.0,174.0,2.0
Isaiah Likely,22,TE,16.0,36.0,373.0,3.0
Chigoziem Okonkwo,22,TE,17.0,32.0,450.0,3.0
Cole Turner,22,TE,10.0,2.0,23.0,0.0
Teagan Quitoriano,22,TE,9.0,7.0,113.0,2.0
James Mitchell,23,TE,14.0,11.0,113.0,1.0
Andrew Ogletree,24,TE,12.0,9.0,147.0,2.0
Grant Calcaterra,23,TE,15.0,5.0,81.0,0.0
Connor Heyward,23,TE,17.0,12.0,151.0,1.0
John FitzPatrick,22,TE,9.0,1.0,12.0,0.0
Ko Kieft,24,TE,17.0,7.0,80.0,1.0
Nick Muse,23,TE,10.0,0.0,0.0,0.0
Dalton Kincaid,23,TE,16.0,73.0,673.0,2.0
Sam LaPorta,22,TE,17.0,86.0,889.0,10.0
