name,age,position,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS
Amari Cooper,21,WR,16.0,72.0,1070.0,6.0
Kevin White,23,WR,4.0,19.0,187.0,0.0
DeVante Parker,22,WR,14.0,26.0,494.0,3.0
Nelson Agholor,22,WR,13.0,23.0,283.0,1.0
Breshad Perriman,21,WR,16.0,33.0,499.0,3.0
Phillip Dorsett,22,WR,11.0,18.0,225.0,1.0
Devin Smith,23,WR,10.0,9.0,115.0,1.0
Dorial Green-Beckham,22,WR,16.0,32.0,549.0,4.0
Tyler Lockett,22,WR,16.0,51.0,664.0,6.0
Jaelen Strong,21,WR,10.0,14.0,161.0,3.0
Chris Conley,22,WR,16.0,17.0,199.0,1.0
Sammie Coates,22,WR,6.0,1.0,11.0,0.0
Ty Montgomery,22,WR,,,,
Jamison Crowder,22,WR,16.0,59.0,604.0,2.0
Justin Hardy,23,WR,9.0,21.0,194.0,0.0
Vince Mayle,24,WR,,,,
DeAndre Smelter,23,WR,2.0,1.0,23.0,0.0
Rashad Greene,22,WR,9.0,19.0,93.0,2.0
Stefon Diggs,21,WR,13.0,52.0,720.0,4.0
Tony Lippett,23,WR,,,,
JJ Nelson,23,WR,11.0,11.0,299.0,2.0
Kenny Bell,23,WR,,,,
Keith Mumphery,23,WR,16.0,14.0,129.0,0.0
Kaelin Clay,23,WR,13.0,6.0,85.0,0.0
Geremy Davis,23,WR,10.0,2.0,21.0,0.0
Evan Spencer,22,WR,,,,
Darren Waller,22,WR,6.0,2.0,18.0,0.0
Neal Sterling,23,WR,9.0,0.0,0.0,0.0
Da'Ron Brown,23,WR,,,,
Dezmin Lewis,22,WR,,,,
Mario Alford,23,WR,1.0,1.0,15.0,0.0
Tre McBride,22,WR,7.0,2.0,8.0,1.0
Corey Coleman,22,WR,10.0,33.0,413.0,3.0
Will Fuller,22,WR,14.0,47.0,635.0,2.0
Josh Doctson,23,WR,2.0,2.0,66.0,0.0
Laquon Treadwell,21,WR,9.0,1.0,15.0,0.0
Sterling Shepard,23,WR,16.0,65.0,683.0,8.0
Michael Thomas,23,WR,15.0,92.0,1137.0,9.0
Tyler Boyd,21,WR,16.0,54.0,603.0,1.0
Braxton Miller,23,WR,10.0,15.0,99.0,1.0
Leonte Carroo,22,WR,14.0,3.0,29.0,1.0
Chris Moore,23,WR,15.0,7.0,46.0,0.0
Malcolm Mitchell,24,WR,14.0,32.0,401.0,4.0
Ricardo Louis,22,WR,16.0,18.0,205.0,0.0
Pharoh Cooper,21,WR,10.0,14.0,106.0,0.0
Demarcus Robinson,21,WR,16.0,0.0,0.0,0.0
Tajae Sharpe,21,WR,16.0,41.0,522.0,2.0
Jordan Payton,23,WR,4.0,1.0,3.0,0.0
Trevor Davis,23,WR,11.0,3.0,24.0,1.0
Tyreek Hill,22,WR,16.0,61.0,593.0,6.0
Rashard Higgins,21,WR,16.0,6.0,77.0,0.0
Moritz Boehringer,22,WR,,,,
Jakeem Grant,23,WR,16.0,0.0,0.0,0.0
Kolby Listenbee,22,WR,,,,
Cody Core,22,WR,8.0,17.0,200.0,0.0
Mike Thomas,22,WR,15.0,3.0,37.0,0.0
Aaron Burbridge,22,WR,16.0,7.0,88.0,0.0
Devin Lucien,23,WR,,,,
Demarcus Ayers,22,WR,2.0,6.0,53.0,1.0
Daniel Braverman,22,WR,3.0,0.0,0.0,0.0
Devin Fuller,22,WR,,,,
Charone Peake,23,WR,15.0,19.0,186.0,0.0
Kenny Lawler,22,WR,,,,
Corey Davis,22,WR,11.0,34.0,375.0,0.0
Mike Williams,22,WR,10.0,11.0,95.0,0.0
John Ross,21,WR,3.0,0.0,0.0,0.0
Zay Jones,22,WR,15.0,27.0,316.0,2.0
Curtis Samuel,21,WR,9.0,15.0,115.0,0.0
JuJu Smith-Schuster,20,WR,14.0,58.0,917.0,7.0
Cooper Kupp,24,WR,15.0,62.0,869.0,5.0
Taywan Taylor,22,WR,16.0,16.0,231.0,1.0
ArDarius Stewart,23,WR,,,,
Carlos Henderson,22,WR,,,,
Chris Godwin,21,WR,16.0,34.0,525.0,1.0
Kenny Golladay,23,WR,11.0,28.0,477.0,3.0
Chad Williams,22,WR,6.0,3.0,31.0,0.0
Amara Darboh,23,WR,16.0,8.0,71.0,0.0
Dede Westbrook,23,WR,7.0,27.0,339.0,1.0
Josh Reynolds,22,WR,16.0,11.0,104.0,1.0
Mack Hollins,23,WR,16.0,16.0,226.0,1.0
Josh Malone,21,WR,11.0,6.0,63.0,1.0
Ryan Switzer,22,WR,16.0,6.0,41.0,0.0
Jehu Chesson,23,WR,12.0,2.0,18.0,0.0
Chad Hansen,22,WR,15.0,9.0,94.0,0.0
Shelton Gibson,23,WR,5.0,2.0,11.0,0.0
Rodney Adams,22,WR,,,,
Isaiah McKenzie,22,WR,11.0,4.0,29.0,0.0
DeAngelo Yancey,22,WR,,,,
