name,position,age,school,draft_pick,rookie_year,college_profile_url,scrape_error
Cam Ward,QB,,Miami (FL),1.0,2025,https://www.sports-reference.com/cfb/players/cam-ward-1.html,"RuntimeError: Failed to fetch https://www.sports-reference.com/cfb/players/cam-ward-1.html after 3 attempts: 403 challenge/block page for https://www.sports-reference.com/cfb/players/cam-ward-1.html; try later, use a browser-exported cache, or rely on local CSV fallback"
Jaxson Dart,QB,,Ole Miss,25.0,2025,https://www.sports-reference.com/cfb/players/jaxson-dart-1.html,skipped after Sports Reference 403
Tyler Shough,QB,,Louisville,40.0,2025,https://www.sports-reference.com/cfb/players/tyler-shough-1.html,skipped after Sports Reference 403
Jalen Milroe,QB,,Alabama,92.0,2025,https://www.sports-reference.com/cfb/players/jalen-milroe-1.html,skipped after Sports Reference 403
Dillon Gabriel,QB,,Oregon,94.0,2025,https://www.sports-reference.com/cfb/players/dillon-gabriel-1.html,skipped after Sports Reference 403
Shedeur Sanders,QB,,Colorado,144.0,2025,https://www.sports-reference.com/cfb/players/shedeur-sanders-1.html,skipped after Sports Reference 403
Kyle McCord,QB,,Syracuse,181.0,2025,https://www.sports-reference.com/cfb/players/kyle-mccord-1.html,skipped after Sports Reference 403
Will Howard,QB,,Ohio State,185.0,2025,https://www.sports-reference.com/cfb/players/will-howard-1.html,skipped after Sports Reference 403
Riley Leonard,QB,,Notre Dame,189.0,2025,https://www.sports-reference.com/cfb/players/riley-leonard-1.html,skipped after Sports Reference 403
Graham Mertz,QB,,Florida,197.0,2025,https://www.sports-reference.com/cfb/players/graham-mertz-1.html,skipped after Sports Reference 403
Cam Miller,QB,,North Dakota State,215.0,2025,https://www.sports-reference.com/cfb/players/cam-miller-1.html,skipped after Sports Reference 403
Kurtis Rourke,QB,,Indiana,227.0,2025,https://www.sports-reference.com/cfb/players/kurtis-rourke-1.html,skipped after Sports Reference 403
Quinn Ewers,QB,,Texas,231.0,2025,https://www.sports-reference.com/cfb/players/quinn-ewers-1.html,skipped after Sports Reference 403
