name,position,age,school,draft_pick,rookie_year,college_profile_url,scrape_error
Jeremiyah Love,RB,,Notre Dame,3.0,2026,https://www.sports-reference.com/cfb/players/jeremiyah-love-1.html,skipped after Sports Reference 403
Jadarian Price,RB,,Notre Dame,32.0,2026,https://www.sports-reference.com/cfb/players/jadarian-price-1.html,skipped after Sports Reference 403
Kaelon Black,RB,,Indiana,90.0,2026,https://www.sports-reference.com/cfb/players/kaelon-black-1.html,skipped after Sports Reference 403
Jonah Coleman,RB,,Washington,108.0,2026,https://www.sports-reference.com/cfb/players/jonah-coleman-1.html,skipped after Sports Reference 403
Mike Washington Jr.,RB,,Arkansas,122.0,2026,https://www.sports-reference.com/cfb/players/mike-washington-1.html,skipped after Sports Reference 403
Emmett Johnson,RB,,Nebraska,161.0,2026,https://www.sports-reference.com/cfb/players/emmett-johnson-1.html,skipped after Sports Reference 403
Nicholas Singleton,RB,,Penn State,165.0,2026,https://www.sports-reference.com/cfb/players/nicholas-singleton-1.html,skipped after Sports Reference 403
Adam Randall,RB,,Clemson,174.0,2026,https://www.sports-reference.com/cfb/players/adam-randall-1.html,skipped after Sports Reference 403
Kaytron Allen,RB,,Penn State,187.0,2026,https://www.sports-reference.com/cfb/players/kaytron-allen-1.html,skipped after Sports Reference 403
Demond Claiborne,RB,,Wake Forest,198.0,2026,https://www.sports-reference.com/cfb/players/demond-claiborne-1.html,skipped after Sports Reference 403
Eli Heidenreich,RB,,Navy,230.0,2026,https://www.sports-reference.com/cfb/players/eli-heidenreich-1.html,skipped after Sports Reference 403
Seth McGowan,RB,,Kentucky,237.0,2026,https://www.sports-reference.com/cfb/players/seth-mcgowan-1.html,skipped after Sports Reference 403
Jam Miller,RB,,Alabama,245.0,2026,https://www.sports-reference.com/cfb/players/jam-miller-1.html,skipped after Sports Reference 403
