name,position,age,school,draft_pick,rookie_year,college_profile_url
Cam Ward,QB,,Miami (FL),1.0,2025,https://www.sports-reference.com/cfb/players/cam-ward-1.html
Ashton Jeanty,RB,,Boise State,6.0,2025,https://www.sports-reference.com/cfb/players/ashton-jeanty-1.html
Tetairoa McMillan,WR,,Arizona,8.0,2025,https://www.sports-reference.com/cfb/players/tetairoa-mcmillan-1.html
Colston Loveland,TE,,Michigan,10.0,2025,https://www.sports-reference.com/cfb/players/colston-loveland-1.html
Tyler Warren,TE,,Penn State,14.0,2025,https://www.sports-reference.com/cfb/players/tyler-warren-1.html
Emeka Egbuka,WR,,Ohio State,19.0,2025,https://www.sports-reference.com/cfb/players/emeka-egbuka-1.html
Omarion Hampton,RB,,North Carolina,22.0,2025,https://www.sports-reference.com/cfb/players/omarion-hampton-1.html
Matthew Golden,WR,,Texas,23.0,2025,https://www.sports-reference.com/cfb/players/matthew-golden-1.html
Jaxson Dart,QB,,Ole Miss,25.0,2025,https://www.sports-reference.com/cfb/players/jaxson-dart-1.html
Jayden Higgins,WR,,Iowa State,34.0,2025,https://www.sports-reference.com/cfb/players/jayden-higgins-1.html
Quinshon Judkins,RB,,Ohio State,36.0,2025,https://www.sports-reference.com/cfb/players/quinshon-judkins-1.html
TreVeyon Henderson,RB,,Ohio State,38.0,2025,https://www.sports-reference.com/cfb/players/treveyon-henderson-1.html
Luther Burden III,WR,,Missouri,39.0,2025,https://www.sports-reference.com/cfb/players/luther-burden-1.html
Tyler Shough,QB,,Louisville,40.0,2025,https://www.sports-reference.com/cfb/players/tyler-shough-1.html
Mason Taylor,TE,,LSU,42.0,2025,https://www.sports-reference.com/cfb/players/mason-taylor-1.html
Terrance Ferguson,TE,,Oregon,46.0,2025,https://www.sports-reference.com/cfb/players/terrance-ferguson-1.html
Elijah Arroyo,TE,,Miami (FL),50.0,2025,https://www.sports-reference.com/cfb/players/elijah-arroyo-1.html
Tre Harris,WR,,Ole Miss,55.0,2025,https://www.sports-reference.com/cfb/players/tre-harris-1.html
Jack Bech,WR,,TCU,58.0,2025,https://www.sports-reference.com/cfb/players/jack-bech-1.html
RJ Harvey,RB,,UCF,60.0,2025,https://www.sports-reference.com/cfb/players/rj-harvey-1.html
Harold Fannin Jr.,TE,,Bowling Green,67.0,2025,https://www.sports-reference.com/cfb/players/harold-fannin-1.html
Kyle Williams,WR,,Washington State,69.0,2025,https://www.sports-reference.com/cfb/players/kyle-williams-1.html
Isaac TeSlaa,WR,,Arkansas,70.0,2025,https://www.sports-reference.com/cfb/players/isaac-teslaa-1.html
Pat Bryant,WR,,Illinois,74.0,2025,https://www.sports-reference.com/cfb/players/pat-bryant-1.html
Jaylin Noel,WR,,Iowa State,79.0,2025,https://www.sports-reference.com/cfb/players/jaylin-noel-1.html
Kaleb Johnson,RB,,Iowa,83.0,2025,https://www.sports-reference.com/cfb/players/kaleb-johnson-1.html
Savion Williams,WR,,TCU,87.0,2025,https://www.sports-reference.com/cfb/players/savion-williams-1.html
Jalen Milroe,QB,,Alabama,92.0,2025,https://www.sports-reference.com/cfb/players/jalen-milroe-1.html
Dillon Gabriel,QB,,Oregon,94.0,2025,https://www.sports-reference.com/cfb/players/dillon-gabriel-1.html
Tai Felton,WR,,Maryland,102.0,2025,https://www.sports-reference.com/cfb/players/tai-felton-1.html
Chimere Dike,WR,,Florida,103.0,2025,https://www.sports-reference.com/cfb/players/chimere-dike-1.html
Bhayshul Tuten,RB,,Virginia Tech,104.0,2025,https://www.sports-reference.com/cfb/players/bhayshul-tuten-1.html
Cam Skattebo,RB,,Arizona State,105.0,2025,https://www.sports-reference.com/cfb/players/cam-skattebo-1.html
Dont'e Thornton,WR,,Tennessee,108.0,2025,https://www.sports-reference.com/cfb/players/dont'e-thornton-1.html
Arian Smith,WR,,Georgia,110.0,2025,https://www.sports-reference.com/cfb/players/arian-smith-1.html
Trevor Etienne,RB,,Georgia,114.0,2025,https://www.sports-reference.com/cfb/players/trevor-etienne-1.html
Woody Marks,RB,,USC,116.0,2025,https://www.sports-reference.com/cfb/players/woody-marks-1.html
Jarquez Hunter,RB,,Auburn,117.0,2025,https://www.sports-reference.com/cfb/players/jarquez-hunter-1.html
Gunnar Helm,TE,,Texas,120.0,2025,https://www.sports-reference.com/cfb/players/gunnar-helm-1.html
Dylan Sampson,RB,,Tennessee,126.0,2025,https://www.sports-reference.com/cfb/players/dylan-sampson-1.html
Jaylin Lane,WR,,Virginia Tech,128.0,2025,https://www.sports-reference.com/cfb/players/jaylin-lane-1.html
Jalen Royals,WR,,Utah State,133.0,2025,https://www.sports-reference.com/cfb/players/jalen-royals-1.html
Elic Ayomanor,WR,,Stanford,136.0,2025,https://www.sports-reference.com/cfb/players/elic-ayomanor-1.html
Jordan Watkins,WR,,Ole Miss,138.0,2025,https://www.sports-reference.com/cfb/players/jordan-watkins-1.html
Shedeur Sanders,QB,,Colorado,144.0,2025,https://www.sports-reference.com/cfb/players/shedeur-sanders-1.html
Jordan James,RB,,Oregon,147.0,2025,https://www.sports-reference.com/cfb/players/jordan-james-1.html
Jaydon Blue,RB,,Texas,149.0,2025,https://www.sports-reference.com/cfb/players/jaydon-blue-1.html
DJ Giddens,RB,,Kansas State,151.0,2025,https://www.sports-reference.com/cfb/players/dj-giddens-1.html
KeAndre Lambert-Smith,WR,,Auburn,158.0,2025,https://www.sports-reference.com/cfb/players/keandre-lambert-smith-1.html
Mitchell Evans,TE,,Notre Dame,163.0,2025,https://www.sports-reference.com/cfb/players/mitchell-evans-1.html
Oronde Gadsden II,TE,,Syracuse,165.0,2025,https://www.sports-reference.com/cfb/players/oronde-gadsden-1.html
Tory Horton,WR,,Colorado State,166.0,2025,https://www.sports-reference.com/cfb/players/tory-horton-1.html
Jackson Hawes,TE,,Georgia Tech,173.0,2025,https://www.sports-reference.com/cfb/players/jackson-hawes-1.html
Ollie Gordon II,RB,,Oklahoma State,179.0,2025,https://www.sports-reference.com/cfb/players/ollie-gordon-1.html
Kyle McCord,QB,,Syracuse,181.0,2025,https://www.sports-reference.com/cfb/players/kyle-mccord-1.html
Devin Neal,RB,,Kansas,184.0,2025,https://www.sports-reference.com/cfb/players/devin-neal-1.html
Will Howard,QB,,Ohio State,185.0,2025,https://www.sports-reference.com/cfb/players/will-howard-1.html
Kalel Mullings,RB,,Michigan,188.0,2025,https://www.sports-reference.com/cfb/players/kalel-mullings-1.html
Riley Leonard,QB,,Notre Dame,189.0,2025,https://www.sports-reference.com/cfb/players/riley-leonard-1.html
Tahj Brooks,RB,,Texas Tech,193.0,2025,https://www.sports-reference.com/cfb/players/tahj-brooks-1.html
Graham Mertz,QB,,Florida,197.0,2025,https://www.sports-reference.com/cfb/players/graham-mertz-1.html
Gavin Bartholomew,TE,,Pittsburgh,202.0,2025,https://www.sports-reference.com/cfb/players/gavin-bartholomew-1.html
LaJohntay Wester,WR,,Colorado,203.0,2025,https://www.sports-reference.com/cfb/players/lajohntay-wester-1.html
Jimmy Horn Jr.,WR,,Colorado,208.0,2025,https://www.sports-reference.com/cfb/players/jimmy-horn-1.html
Tommy Mellott,WR,,Montana State,213.0,2025,https://www.sports-reference.com/cfb/players/tommy-mellott-1.html
Cam Miller,QB,,North Dakota State,215.0,2025,https://www.sports-reference.com/cfb/players/cam-miller-1.html
Thomas Fidone,TE,,Nebraska,219.0,2025,https://www.sports-reference.com/cfb/players/thomas-fidone-1.html
Damien Martinez,RB,,Miami (FL),223.0,2025,https://www.sports-reference.com/cfb/players/damien-martinez-1.html
Kurtis Rourke,QB,,Indiana,227.0,2025,https://www.sports-reference.com/cfb/players/kurtis-rourke-1.html
Brashard Smith,RB,,SMU,228.0,2025,https://www.sports-reference.com/cfb/players/brashard-smith-1.html
Quinn Ewers,QB,,Texas,231.0,2025,https://www.sports-reference.com/cfb/players/quinn-ewers-1.html
Kyle Monangai,RB,,Rutgers,233.0,2025,https://www.sports-reference.com/cfb/players/kyle-monangai-1.html
Tez Johnson,WR,,Oregon,235.0,2025,https://www.sports-reference.com/cfb/players/tez-johnson-1.html
LeQuint Allen,RB,,Syracuse,236.0,2025,https://www.sports-reference.com/cfb/players/lequint-allen-1.html
Ricky White III,WR,,UNLV,238.0,2025,https://www.sports-reference.com/cfb/players/ricky-white-1.html
Phil Mafah,RB,,Clemson,239.0,2025,https://www.sports-reference.com/cfb/players/phil-mafah-1.html
Kaden Prather,WR,,Maryland,240.0,2025,https://www.sports-reference.com/cfb/players/kaden-prather-1.html
Caleb Lohner,TE,,Utah,241.0,2025,https://www.sports-reference.com/cfb/players/caleb-lohner-1.html
Konata Mumpfield,WR,,Pittsburgh,242.0,2025,https://www.sports-reference.com/cfb/players/konata-mumpfield-1.html
Dominic Lovett,WR,,Georgia,244.0,2025,https://www.sports-reference.com/cfb/players/dominic-lovett-1.html
Jacory Croskey-Merritt,RB,,Arizona,245.0,2025,https://www.sports-reference.com/cfb/players/jacory-croskey-merritt-1.html
Moliki Matavao,TE,,UCLA,248.0,2025,https://www.sports-reference.com/cfb/players/moliki-matavao-1.html
Junior Bergen,WR,,Montana,252.0,2025,https://www.sports-reference.com/cfb/players/junior-bergen-1.html
Luke Lachey,TE,,Iowa,255.0,2025,https://www.sports-reference.com/cfb/players/luke-lachey-1.html
