name,position,age,school,draft_pick,rookie_year,college_profile_url,scrape_error
Colston Loveland,TE,,Michigan,10.0,2025,https://www.sports-reference.com/cfb/players/colston-loveland-1.html,skipped after Sports Reference 403
Tyler Warren,TE,,Penn State,14.0,2025,https://www.sports-reference.com/cfb/players/tyler-warren-1.html,skipped after Sports Reference 403
Mason Taylor,TE,,LSU,42.0,2025,https://www.sports-reference.com/cfb/players/mason-taylor-1.html,skipped after Sports Reference 403
Terrance Ferguson,TE,,Oregon,46.0,2025,https://www.sports-reference.com/cfb/players/terrance-ferguson-1.html,skipped after Sports Reference 403
Elijah Arroyo,TE,,Miami (FL),50.0,2025,https://www.sports-reference.com/cfb/players/elijah-arroyo-1.html,skipped after Sports Reference 403
Harold Fannin Jr.,TE,,Bowling Green,67.0,2025,https://www.sports-reference.com/cfb/players/harold-fannin-1.html,skipped after Sports Reference 403
Gunnar Helm,TE,,Texas,120.0,2025,https://www.sports-reference.com/cfb/players/gunnar-helm-1.html,skipped after Sports Reference 403
Mitchell Evans,TE,,Notre Dame,163.0,2025,https://www.sports-reference.com/cfb/players/mitchell-evans-1.html,skipped after Sports Reference 403
Oronde Gadsden II,TE,,Syracuse,165.0,2025,https://www.sports-reference.com/cfb/players/oronde-gadsden-1.html,skipped after Sports Reference 403
Jackson Hawes,TE,,Georgia Tech,173.0,2025,https://www.sports-reference.com/cfb/players/jackson-hawes-1.html,skipped after Sports Reference 403
Gavin Bartholomew,TE,,Pittsburgh,202.0,2025,https://www.sports-reference.com/cfb/players/gavin-bartholomew-1.html,skipped after Sports Reference 403
Thomas Fidone,TE,,Nebraska,219.0,2025,https://www.sports-reference.com/cfb/players/thomas-fidone-1.html,skipped after Sports Reference 403
Caleb Lohner,TE,,Utah,241.0,2025,https://www.sports-reference.com/cfb/players/caleb-lohner-1.html,skipped after Sports Reference 403
Moliki Matavao,TE,,UCLA,248.0,2025,https://www.sports-reference.com/cfb/players/moliki-matavao-1.html,skipped after Sports Reference 403
Luke Lachey,TE,,Iowa,255.0,2025,https://www.sports-reference.com/cfb/players/luke-lachey-1.html,skipped after Sports Reference 403
