name,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL,YPC,YPG,TDPG,RPG,Team_RPG,Team_YPG,Team_TDPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG
A.J. Brown,WR,Mississippi,51.0,2018,12.0,85.0,1320.0,6.0,0.0,0.0,0.0,/cfb/schools/mississippi/2018.html,15.529411764705882,110.0,0.5,7.083333333333333,23.5,346.4,1.8,5.666666666666671,0.833333333333333,-0.41666666666666663,0.9166666666666666,6.25,104.33333333333333
A.T. Perry,WR,Wake Forest,195.0,2022,13.0,81.0,1096.0,11.0,0.0,0.0,0.0,/cfb/schools/wake-forest/2022.html,13.530864197530864,84.3076923076923,0.8461538461538461,6.230769230769231,23.2,311.9,3.3,-8.049450549450555,1.1593406593406597,-0.22527472527472525,1.0714285714285714,5.071428571428571,92.35714285714286
Aaron Burbridge,WR,Michigan St.,213.0,2015,14.0,85.0,1258.0,7.0,9.0,44.0,0.0,/cfb/schools/michigan-state/2015.html,14.8,89.85714285714286,0.5,6.071428571428571,17.4,234.2,1.9,62.31868131868132,3.8406593406593403,0.4230769230769231,0.07692307692307693,2.230769230769231,27.53846153846154
Adonai Mitchell,WR,Texas,52.0,2023,14.0,55.0,845.0,11.0,2.0,1.0,0.0,/cfb/schools/texas/2023.html,15.363636363636363,60.357142857142854,0.7857142857142857,3.9285714285714284,22.6,289.1,1.8,38.02380952380952,2.4285714285714284,0.2857142857142857,0.5,1.5,22.333333333333332
Ainias Smith,WR,Texas A&M,152.0,2023,12.0,53.0,795.0,2.0,5.0,21.0,0.0,/cfb/schools/texas-am/2023.html,15.0,66.25,0.16666666666666666,4.416666666666667,21.1,270.8,1.8,-6.5,0.666666666666667,-0.33333333333333337,0.5,3.75,72.75
Alec Pierce,WR,Cincinnati,53.0,2021,14.0,52.0,884.0,7.0,0.0,0.0,0.0,/cfb/schools/cincinnati/2021.html,17.0,63.142857142857146,0.5,3.7142857142857144,18.4,241.2,2.1,10.642857142857146,0.8809523809523809,0.0,0.5,2.8333333333333335,52.5
Amara Darboh,WR,Michigan,106.0,2016,13.0,57.0,862.0,7.0,0.0,0.0,0.0,/cfb/schools/michigan/2016.html,15.12280701754386,66.3076923076923,0.5384615384615384,4.384615384615385,17.5,212.0,1.5,10.384615384615387,-0.07692307692307665,0.1538461538461538,0.38461538461538464,4.461538461538462,55.92307692307692
Amari Cooper,WR,Alabama,4.0,2014,14.0,124.0,1727.0,16.0,5.0,23.0,0.0,/cfb/schools/alabama/2014.html,13.92741935483871,123.35714285714286,1.1428571428571428,8.857142857142858,20.7,277.9,2.3,56.448051948051955,4.766233766233767,0.7792207792207791,0.36363636363636365,4.090909090909091,66.9090909090909
Amari Rodgers,WR,Clemson,85.0,2020,12.0,77.0,1020.0,7.0,0.0,0.0,0.0,/cfb/schools/clemson/2020.html,13.246753246753247,85.0,0.5833333333333334,6.416666666666667,27.2,348.5,2.6,54.57142857142857,4.273809523809524,0.29761904761904767,0.2857142857142857,2.142857142857143,30.428571428571427
Amon-Ra St. Brown,WR,USC,112.0,2020,6.0,41.0,478.0,7.0,0.0,0.0,0.0,/cfb/schools/southern-california/2020.html,11.658536585365853,79.66666666666667,1.1666666666666667,6.833333333333333,29.7,319.3,2.8,-0.487179487179489,0.9102564102564097,0.7051282051282052,0.46153846153846156,5.923076923076923,80.15384615384616
Andrei Iosivas,WR,Princeton,206.0,2022,12.0,107.0,1171.0,6.0,0.0,0.0,0.0,/cfb/schools/iowa-state/2022.html,10.94392523364486,97.58333333333333,0.5,8.916666666666666,26.1,261.8,1.6,21.66025641025641,2.532051282051281,0.11538461538461536,0.38461538461538464,6.384615384615385,75.92307692307692
Andy Isabella,WR,Massachusetts,62.0,2018,12.0,102.0,1698.0,13.0,11.0,79.0,1.0,/cfb/schools/massachusetts/2018.html,16.647058823529413,141.5,1.0833333333333333,8.5,21.8,298.0,2.3,56.5,3.083333333333333,0.2499999999999999,0.8333333333333334,5.416666666666667,85.0
