name,position,age,school,draft_pick,rookie_year,college_profile_url,scrape_error
Carnell Tate,WR,,Ohio State,4.0,2026,https://www.sports-reference.com/cfb/players/carnell-tate-1.html,skipped after Sports Reference 403
Jordyn Tyson,WR,,Arizona State,8.0,2026,https://www.sports-reference.com/cfb/players/jordyn-tyson-1.html,skipped after Sports Reference 403
Makai Lemon,WR,,USC,20.0,2026,https://www.sports-reference.com/cfb/players/makai-lemon-1.html,skipped after Sports Reference 403
KC Concepcion,WR,,Texas A&M,24.0,2026,https://www.sports-reference.com/cfb/players/kc-concepcion-1.html,skipped after Sports Reference 403
Omar Cooper Jr.,WR,,Indiana,30.0,2026,https://www.sports-reference.com/cfb/players/omar-cooper-1.html,skipped after Sports Reference 403
De'Zhaun Stribling,WR,,Ole Miss,33.0,2026,https://www.sports-reference.com/cfb/players/de'zhaun-stribling-1.html,skipped after Sports Reference 403
Denzel Boston,WR,,Washington,39.0,2026,https://www.sports-reference.com/cfb/players/denzel-boston-1.html,skipped after Sports Reference 403
Germie Bernard,WR,,Alabama,47.0,2026,https://www.sports-reference.com/cfb/players/germie-bernard-1.html,skipped after Sports Reference 403
Antonio Williams,WR,,Clemson,71.0,2026,https://www.sports-reference.com/cfb/players/antonio-williams-1.html,skipped after Sports Reference 403
Malachi Fields,WR,,Notre Dame,74.0,2026,https://www.sports-reference.com/cfb/players/malachi-fields-1.html,skipped after Sports Reference 403
Caleb Douglas,WR,,Texas Tech,75.0,2026,https://www.sports-reference.com/cfb/players/caleb-douglas-1.html,skipped after Sports Reference 403
Zachariah Branch,WR,,Georgia,79.0,2026,https://www.sports-reference.com/cfb/players/zachariah-branch-1.html,skipped after Sports Reference 403
Ja'Kobi Lane,WR,,USC,80.0,2026,https://www.sports-reference.com/cfb/players/ja'kobi-lane-1.html,skipped after Sports Reference 403
Chris Brazzell II,WR,,Tennessee,83.0,2026,https://www.sports-reference.com/cfb/players/chris-brazzell-1.html,skipped after Sports Reference 403
Ted Hurst,WR,,Georgia State,84.0,2026,https://www.sports-reference.com/cfb/players/ted-hurst-1.html,skipped after Sports Reference 403
Zavion Thomas,WR,,LSU,89.0,2026,https://www.sports-reference.com/cfb/players/zavion-thomas-1.html,skipped after Sports Reference 403
Chris Bell,WR,,Louisville,94.0,2026,https://www.sports-reference.com/cfb/players/chris-bell-1.html,skipped after Sports Reference 403
Brenen Thompson,WR,,Mississippi State,105.0,2026,https://www.sports-reference.com/cfb/players/brenen-thompson-1.html,skipped after Sports Reference 403
Elijah Sarratt,WR,,Indiana,115.0,2026,https://www.sports-reference.com/cfb/players/elijah-sarratt-1.html,skipped after Sports Reference 403
Kaden Wetjen,WR,,Iowa,121.0,2026,https://www.sports-reference.com/cfb/players/kaden-wetjen-1.html,skipped after Sports Reference 403
Skyler Bell,WR,,UConn,125.0,2026,https://www.sports-reference.com/cfb/players/skyler-bell-1.html,skipped after Sports Reference 403
Bryce Lance,WR,,North Dakota State,136.0,2026,https://www.sports-reference.com/cfb/players/bryce-lance-1.html,skipped after Sports Reference 403
Colbie Young,WR,,Georgia,140.0,2026,https://www.sports-reference.com/cfb/players/colbie-young-1.html,skipped after Sports Reference 403
Reggie Virgil,WR,,Texas Tech,143.0,2026,https://www.sports-reference.com/cfb/players/reggie-virgil-1.html,skipped after Sports Reference 403
Kendrick Law,WR,,Kentucky,168.0,2026,https://www.sports-reference.com/cfb/players/kendrick-law-1.html,skipped after Sports Reference 403
Cyrus Allen,WR,,Cincinnati,176.0,2026,https://www.sports-reference.com/cfb/players/cyrus-allen-1.html,skipped after Sports Reference 403
Kevin Coleman Jr.,WR,,Missouri,177.0,2026,https://www.sports-reference.com/cfb/players/kevin-coleman-1.html,skipped after Sports Reference 403
Barion Brown,WR,,LSU,190.0,2026,https://www.sports-reference.com/cfb/players/barion-brown-1.html,skipped after Sports Reference 403
Josh Cameron,WR,,Baylor,191.0,2026,https://www.sports-reference.com/cfb/players/josh-cameron-1.html,skipped after Sports Reference 403
Malik Benson,WR,,Oregon,195.0,2026,https://www.sports-reference.com/cfb/players/malik-benson-1.html,skipped after Sports Reference 403
CJ Daniels,WR,,Miami (FL),197.0,2026,https://www.sports-reference.com/cfb/players/cj-daniels-1.html,skipped after Sports Reference 403
Emmanuel Henderson Jr.,WR,,Kansas,199.0,2026,https://www.sports-reference.com/cfb/players/emmanuel-henderson-1.html,skipped after Sports Reference 403
CJ Williams,WR,,Stanford,203.0,2026,https://www.sports-reference.com/cfb/players/cj-williams-1.html,skipped after Sports Reference 403
Lewis Bond,WR,,Boston College,204.0,2026,https://www.sports-reference.com/cfb/players/lewis-bond-1.html,skipped after Sports Reference 403
Anthony Smith,WR,,East Carolina,218.0,2026,https://www.sports-reference.com/cfb/players/anthony-smith-1.html,skipped after Sports Reference 403
Deion Burks,WR,,Oklahoma,254.0,2026,https://www.sports-reference.com/cfb/players/deion-burks-1.html,skipped after Sports Reference 403
