name,school,age,draft_pick,season,recs,recYDS,recTDS,YPG,TEAM_YARDS,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,games,RPG,TDPG,Yards_percentage,second_last_TDPG,second_last_RPG,second_last_YPG
Travis Hunter,Colorado,22,2,2024,96,1258,15,96.8,3536,0,1,0,0,0,12.995867768595042,7.386963434022257,1.1542130365659777,0.3557692307692308,0.5554785020804438,6.332454923717059,80.1
Tetairoa McMillan,Arizona,22,8,2024,84,1319,8,109.9,2975,0,1,0,0,0,12.00181983621474,6.998938589840789,0.6665655799848371,0.4433613445378151,0.7689015691868759,6.920114122681883,107.8
Emeka Egbuka,Ohio St.,22,19,2024,81,1011,10,63.2,4208,0,0,1,0,0,15.996835443037973,5.063501483679525,0.6251236399604353,0.24025665399239543,0.4,4.1,51.5
Matthew Golden,Texas,22,23,2024,58,987,9,61.7,4460,0,0,0,0,1,15.9967585089141,3.6257345491388047,0.562613981762918,0.22130044843049326,0.6668316831683169,4.223267326732674,44.9
Jayden Higgins,Iowa St.,22,34,2024,87,1183,9,91.0,3580,0,1,0,0,0,13.0,6.6923076923076925,0.6923076923076923,0.3304469273743017,0.4614445574771109,4.076093591047813,75.6
Luther Burden,Missouri,21,39,2024,61,676,6,56.3,2926,0,0,0,0,1,12.007104795737122,5.0803254437869825,0.49970414201183433,0.23103212576896787,0.6920792079207921,6.6132013201320134,93.2
Tre Harris,Ole Miss,23,55,2024,60,1030,7,128.8,4561,0,0,0,0,1,7.996894409937887,7.502912621359224,0.8753398058252428,0.22582766937075202,0.6668020304568527,4.500913705583756,82.1
Jack Bech,TCU,22,58,2024,62,1034,9,86.2,4068,0,1,0,0,0,11.9953596287703,5.168665377176016,0.7502901353965185,0.25417895771878074,0.0,1.5041095890410958,18.3
Kyle Williams,Washington St.,22,69,2024,70,1198,14,92.2,3589,0,0,0,1,0,12.99349240780911,5.387312186978297,1.0774624373956594,0.3337977152410142,0.500355871886121,5.0869513641755635,70.3
Isaac TeSlaa,Arkansas,23,70,2024,28,545,3,41.9,3571,0,0,0,0,1,13.007159904534607,2.1526605504587155,0.23064220183486236,0.15261831419770372,0.16695156695156696,2.838176638176638,29.3
Pat Bryant,Illnois,22,74,2024,54,984,10,82.0,2746,0,0,0,1,0,12.0,4.5,0.8333333333333334,0.3583394027676621,0.58375,3.585892857142857,46.7
Jaylin Noel,Iowa St.,23,79,2024,80,1194,8,85.3,3580,0,1,0,0,0,13.997655334114889,5.715242881072027,0.5715242881072027,0.3335195530726257,0.5830487804878048,5.4973170731707315,68.3
Savion Williams,TCU,23,87,2024,60,611,6,50.9,4068,0,1,0,0,0,12.003929273084479,4.998363338788871,0.4998363338788871,0.15019665683382497,0.36369982547993024,3.727923211169285,52.1
Tai Felton,Maryland,22,102,2024,96,1124,9,93.7,3308,0,0,1,0,0,11.9957310565635,8.002846975088968,0.7502669039145908,0.33978234582829503,0.4614107883817427,3.6912863070539417,55.6
Chimere Dike,Florida,23,103,2024,42,783,2,60.2,2934,0,0,0,0,1,13.006644518272426,3.22911877394636,0.15376756066411237,0.2668711656441718,0.09085365853658538,1.726219512195122,29.8
Dont'e Thornton,Tennessee,22,108,2024,26,661,6,50.8,2875,0,0,0,0,1,13.011811023622048,1.998184568835098,0.46111951588502265,0.22991304347826086,0.1111607142857143,1.4450892857142856,24.9
Arian Smith,Georgia,23,110,2024,48,817,4,58.4,3934,0,0,0,0,1,13.98972602739726,3.4310893512851894,0.28592411260709916,0.20767666497203863,0.14248366013071898,0.5699346405228759,10.9
Jaylin Lane,Virginia Tech,23,128,2024,38,466,2,38.8,2462,1,0,0,0,0,12.010309278350517,3.1639484978540766,0.16652360515021458,0.1892770105605199,0.5442379182156134,3.718959107806691,48.8
Jalen Royals,Utah St.,22,133,2024,55,834,6,119.1,3229,0,0,0,1,0,7.002518891687658,7.854316546762589,0.8568345323741007,0.258284298544441,1.1541666666666666,5.463055555555555,83.1
Elic Ayomanor,Stanford,22,136,2024,63,831,6,69.3,2295,1,0,0,0,0,11.991341991341992,5.253790613718412,0.5003610108303249,0.36209150326797385,0.4999012833168806,5.165646594274433,84.4
Jordan Watkins,Ole Miss,23,138,2024,49,906,9,75.5,4561,0,0,0,0,1,12.0,4.083333333333333,0.75,0.19864064898048672,0.23076923076923078,4.076923076923077,57.0
KeAndre Lambert-Smith,Auburn,23,158,2024,50,981,8,81.8,3167,0,0,0,0,1,11.992665036674817,4.169215086646279,0.6670744138634047,0.30975686769813704,0.30787518573551265,4.079346210995542,51.8
Tory Horton,Colorado St.,22,166,2024,26,353,1,58.8,2853,0,0,0,1,0,6.003401360544218,4.330878186968839,0.16657223796033993,0.12372940764107956,0.6669014084507042,8.002816901408451,94.7
LaJohntay Wester,Colorado,23,203,2024,74,931,10,71.6,4134,0,1,0,0,0,13.002793296089386,5.691084854994629,0.7690655209452202,0.22520561199806483,0.6664383561643835,8.996917808219179,97.3
Jimmy Horn,Colorado,22,208,2024,37,441,1,40.1,4134,0,1,0,0,0,10.997506234413965,3.3643990929705216,0.0909297052154195,0.10667634252539913,0.5005291005291005,4.838447971781305,47.3
Tez Johnson,Oregon,23,235,2024,83,898,10,74.8,3913,0,0,1,0,0,12.005347593582888,6.9135857461024495,0.8329621380846325,0.22949143879376438,0.7140439932318106,6.140778341793571,84.4
Ricky White,UNLV,23,238,2024,79,1041,11,80.1,2417,0,0,0,1,0,12.99625468164794,6.078674351585014,0.8463976945244956,0.4306992139015308,0.5712744436952124,6.284018880647337,105.9
Kaden Prather,Maryland,23,240,2024,56,624,4,52.0,3308,0,0,1,0,0,12.0,4.666666666666667,0.3333333333333333,0.18863361547763,0.3843843843843844,3.2288288288288287,51.2
Konata Mumpfield,Pittsburgh,22,242,2024,52,813,5,67.8,3470,1,0,0,0,0,11.991150442477876,4.336531365313653,0.41697416974169743,0.23429394812680115,0.4166666666666667,3.6666666666666665,48.0
Dominic Lovett,Georgia,22,244,2024,54,607,6,43.4,3934,0,0,0,0,1,13.986175115207374,3.860955518945634,0.428995057660626,0.15429588205388917,0.2858075040783034,4.215660685154975,43.8
Junior Bergen,Montana,22,252,2024,48,542,3,41.7,2996,0,0,0,1,0,12.997601918465227,3.692988929889299,0.2308118081180812,0.18090787716955942,0.3331226295828066,3.930847029077118,52.7
