,name,school,draft_pick,season,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,YPG,TDPG,RPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG,age,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS,Yards_percentage,Receptions_Percentage,TD_Percentage,nfl_YPG,nfl_TDPG,nfl_RPG,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC
0,Amari Cooper,Alabama,4.0,2014.0,124.0,1727.0,16.0,5.0,23.0,0.0,123.35714285714286,1.1428571428571428,8.857142857142858,56.44805194805196,4.766233766233767,0.7792207792207791,0.3636363636363636,4.090909090909091,66.9090909090909,21,16.0,72.0,1070.0,6.0,0.4438904025086105,0.0318716907417879,0.4968944099378882,66.875,0.375,4.5,0,0,0,0,1
1,Kevin White,West Virginia,7.0,2014.0,109.0,1447.0,10.0,0.0,0.0,0.0,111.3076923076923,0.7692307692307693,8.384615384615385,60.607692307692304,4.884615384615385,0.2692307692307693,0.5,3.5,50.7,23,4.0,19.0,187.0,0.0,0.3511283669012375,0.0264498908032031,0.3846153846153846,46.75,0.0,4.75,0,1,0,0,0
2,DeVante Parker,Louisville,14.0,2014.0,43.0,855.0,5.0,0.0,0.0,0.0,122.14285714285714,0.7142857142857143,6.142857142857143,48.39285714285714,1.5595238095238102,-0.2857142857142857,1.0,4.583333333333333,73.75,22,14.0,26.0,494.0,3.0,0.4846938775510204,0.02437641723356,0.4464285714285714,35.285714285714285,0.2142857142857142,1.8571428571428568,1,0,0,0,0
3,Nelson Agholor,USC,20.0,2014.0,104.0,1313.0,12.0,4.0,3.0,0.0,101.0,0.9230769230769232,8.0,35.42857142857143,4.0,0.4945054945054946,0.4285714285714285,4.0,65.57142857142857,22,13.0,23.0,283.0,1.0,0.3405259608900876,0.0269723533378287,0.3076923076923077,21.76923076923077,0.0769230769230769,1.7692307692307692,0,0,1,0,0
4,Breshad Perriman,Central Florida,26.0,2014.0,50.0,1044.0,9.0,1.0,0.0,0.0,80.3076923076923,0.6923076923076923,3.8461538461538463,12.724358974358978,0.5961538461538463,0.358974358974359,0.3333333333333333,3.25,67.58333333333333,21,16.0,33.0,499.0,3.0,0.3412991598286966,0.0163457452025237,0.3846153846153846,31.1875,0.1875,2.0625,0,0,0,1,0
5,Phillip Dorsett,Miami (FL),29.0,2014.0,36.0,871.0,10.0,2.0,-6.0,0.0,67.0,0.7692307692307693,2.769230769230769,28.142857142857142,0.912087912087912,0.4835164835164836,0.2857142857142857,1.8571428571428568,38.85714285714285,22,11.0,18.0,225.0,1.0,0.2681072428971588,0.0110813556191707,0.3846153846153846,20.454545454545453,0.0909090909090909,1.6363636363636365,1,0,0,0,0
6,Devin Smith,Ohio St.,37.0,2014.0,33.0,931.0,12.0,0.0,0.0,0.0,62.06666666666667,0.8,2.2,14.923809523809524,-0.9428571428571426,0.2285714285714286,0.5714285714285714,3.142857142857143,47.142857142857146,23,10.0,9.0,115.0,1.0,0.251180358829084,0.008903278025091,0.2857142857142857,11.5,0.1,0.9,0,0,0,1,0
7,Dorial Green-Beckham,Oklahoma,40.0,2013.0,59.0,883.0,12.0,1.0,3.0,0.0,63.07142857142857,0.8571428571428571,4.214285714285714,27.162337662337663,1.668831168831169,0.4025974025974025,0.4545454545454545,2.5454545454545454,35.90909090909091,22,16.0,32.0,549.0,4.0,0.2493927582895554,0.016663842286618,0.3896103896103896,34.3125,0.25,2.0,0,0,0,0,1
8,Tyler Lockett,Kansas St.,69.0,2014.0,106.0,1515.0,11.0,3.0,17.0,0.0,116.53846153846152,0.8461538461538461,8.153846153846153,11.371794871794862,1.4038461538461533,-0.0705128205128204,0.9166666666666666,6.75,105.16666666666669,22,16.0,51.0,664.0,6.0,0.4054922113377228,0.0283710722124083,0.4700854700854701,41.5,0.375,3.1875,0,1,0,0,0
9,Jaelen Strong,Arizona St.,70.0,2014.0,82.0,1165.0,10.0,0.0,0.0,0.0,97.08333333333331,0.8333333333333334,6.833333333333333,16.94047619047619,1.4761904761904765,0.3333333333333333,0.5,5.357142857142857,80.14285714285714,21,10.0,14.0,161.0,3.0,0.3549664838513101,0.0249847653869591,0.3205128205128205,16.1,0.3,1.4,0,1,0,0,0
10,Chris Conley,Georgia,76.0,2014.0,36.0,657.0,8.0,0.0,0.0,0.0,50.53846153846154,0.6153846153846154,2.769230769230769,-8.64335664335664,-1.3216783216783217,0.2517482517482518,0.3636363636363636,4.090909090909091,59.18181818181818,22,16.0,17.0,199.0,1.0,0.2528187170508331,0.013853080386347,0.3418803418803419,12.4375,0.0625,1.0625,0,0,0,0,1
11,Sammie Coates,Auburn,87.0,2014.0,34.0,741.0,4.0,0.0,0.0,0.0,61.75,0.3333333333333333,2.833333333333333,-7.634615384615387,-0.3974358974358973,-0.2051282051282051,0.5384615384615384,3.230769230769231,69.38461538461539,22,6.0,1.0,11.0,0.0,0.2690631808278867,0.0123456790123456,0.1851851851851851,1.8333333333333333,0.0,0.1666666666666666,0,0,0,0,1
