name,school,age,draft_pick,season,recs,recYDS,recTDS,YPG,TEAM_YARDS
Travis Hunter,Boulder,22,2,2024,96,1258,15,96.8,3536
Travis Hunter,Boulder,21,2,2023,57,721,5,80.1,4134
Tetairoa McMillan,Arizona,22,8,2024,84,1319,8,109.9,2975
Tetairoa McMillan,Arizona,21,8,2023,90,1402,10,107.8,4008
Emeka Egbuka ,OSU,22,19,2024,81,1011,10,63.2,4208
Emeka Egbuka ,OSU,21,19,2023,41,515,4,51.5,3498
Matthew Golden,Texas,22,23,2024,58,987,9,61.7,4460
Matthew Golden,Houston,21,23,2023,38,404,6,44.9,2898
Jayden Higgins,Iowa State,22,34,2024,87,1183,9,91,3580
Jayden Higgins,Iowa State,21,34,2023,53,983,6,75.6,3185
Luther Burden,Missouri,21,39,2024,61,676,6,56.3,2926
Luther Burden,Missouri,20,39,2023,86,1212,9,93.2,3410
Tre Harris,Ole Miss,23,55,2024,60,1030,7,128.8,4561
Tre Harris,Ole Miss,22,55,2023,54,985,8,82.1,3713
Jack Bech,TCU,22,58,2024,62,1034,9,86.2,4068
Jack Bech,TCU,21,58,2023,12,146,0,18.3,3746
Kyle Williams,Washington State,22,69,2024,70,1198,14,92.2,3589
Kyle Williams,Washington State,21,69,2023,61,843,6,70.3,4042
Isaac TeSlaa,Arkansas,23,70,2024,28,545,3,41.9,3571
Isaac TeSlaa,Arkansas,22,70,2023,34,351,2,29.3,2250
Pat Bryant,Illnois,22,74,2024,54,984,10,82,2746
Pat Bryant,Illnois,21,74,2023,43,560,7,46.7,3175
Jaylin Noel,Iowa State,23,79,2024,80,1194,8,85.3,3580
Jaylin Noel,Iowa State,22,79,2023,66,820,7,68.3,3185
Savion Williams,TCU,23,87,2024,60,611,6,50.9,4068
Savion Williams,TCU,22,87,2023,41,573,4,52.1,3746
Tai Felton,Maryland,22,102,2024,96,1124,9,93.7,3308
Tai Felton,Maryland,21,102,2023,48,723,6,55.6,3626
Chimere Dike,Florida,23,103,2024,42,783,2,60.2,2934
Chimere Dike,Wisconsin,22,103,2023,19,328,1,29.8,2862
Dont'e Thornton,Tennessee,22,108,2024,26,661,6,50.8,2875
Dont'e Thornton,Tennessee,21,108,2023,13,224,1,24.9,3162
Arian Smith,Georgia,23,110,2024,48,817,4,58.4,3934
Arian Smith,Georgia,22,110,2023,8,153,2,10.9,4274
Jaylin Lane,Virginia Tech,23,128,2024,38,466,2,38.8,2462
Jaylin Lane,Virginia Tech,22,128,2023,41,538,6,48.8,2622
Jalen Royals,Utah State,22,133,2024,55,834,6,119.1,3229
Jalen Royals,Utah State,21,133,2023,71,1080,15,83.1,3305
Elic Ayomanor,Stanford,22,136,2024,63,831,6,69.3,2295
Elic Ayomanor,Stanford,21,136,2023,62,1013,6,84.4,2796
Jordan Watkins,Ole Miss,23,138,2024,49,906,9,75.5,4561
Jordan Watkins,Ole Miss,22,138,2023,53,741,3,57,3713
KeAndre Lambert-Smith,Auburn,23,158,2024,50,981,8,81.8,3167
KeAndre Lambert-Smith,Penn State,22,158,2023,53,673,4,51.8,2795
Tory Horton,Colorado State,22,166,2024,26,353,1,58.8,2853
Tory Horton,Colorado State,21,166,2023,96,1136,8,94.7,3678
LaJohntay Wester,Colorado,23,203,2024,74,931,10,71.6,4134
LaJohntay Wester,FAU,22,203,2023,108,1168,8,97.3,2586
Jimmy Horn ,Colorado,22,208,2024,37,441,1,40.1,4134
Jimmy Horn ,Colorado,21,208,2023,58,567,6,47.3,3536
Tez Johnson,Oregon,23,235,2024,83,898,10,74.8,3913
Tez Johnson,Oregon,22,235,2023,86,1182,10,84.4,4508
Ricky White,UNLV,23,238,2024,79,1041,11,80.1,2417
Ricky White,UNLV,22,238,2023,88,1483,8,105.9,3349
Kaden Prather,Maryland,23,240,2024,56,624,4,52,3308
Kaden Prather,Maryland,22,240,2023,42,666,5,51.2,3626
Konata Mumpfield,Pittsburgh,22,242,2024,52,813,5,67.8,3470
Konata Mumpfield,Pittsburgh,21,242,2023,44,576,5,48,2592
Dominic Lovett,Georgia,22,244,2024,54,607,6,43.4,3934
Dominic Lovett,Georgia,21,244,2023,59,613,4,43.8,4274
Junior Bergen,Montana,22,252,2024,48,542,3,41.7,2996
Junior Bergen,Montana,21,252,2023,59,791,5,52.7,2967
