name,school,draft_pick,season,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,YPG,TDPG,RPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG,age,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS,Yards_percentage,Receptions_Percentage,TD_Percentage,nfl_YPG,nfl_TDPG,nfl_RPG,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC
Demaryius Thomas,Georgia Tech,22.0,2009.0,46.0,1154.0,8.0,1.0,3.0,0.0,82.42857142857143,0.5714285714285714,3.2857142857142856,30.17857142857143,0.0357142857142855,0.3214285714285714,0.25,3.25,52.25,22,10.0,22.0,283.0,2.0,0.6505806742586537,0.02593302514375916,0.7142857142857142,28.3,0.2,2.2,True,False,False,False,False
Dez Bryant,Oklahoma St.,24.0,2009.0,17.0,323.0,4.0,0.0,0.0,0.0,107.66666666666669,1.3333333333333333,5.666666666666667,-6.179487179487168,-1.0256410256410255,-0.1282051282051282,1.4615384615384617,6.6923076923076925,113.84615384615384,21,12.0,45.0,561.0,6.0,0.5998142989786445,0.03156917363045497,0.8888888888888888,46.75,0.5,3.75,False,True,False,False,False
Arrelious Benn,Illinois,39.0,2009.0,38.0,490.0,2.0,7.0,23.0,1.0,40.833333333333336,0.1666666666666666,3.1666666666666665,-47.083333333333336,-2.4166666666666665,-0.0833333333333333,0.25,5.583333333333333,87.91666666666667,21,15.0,25.0,395.0,2.0,0.21146210944243055,0.016399102364923184,0.12820512820512814,26.333333333333332,0.13333333333333333,1.6666666666666667,False,False,True,False,False
Golden Tate,Notre Dame,60.0,2009.0,93.0,1496.0,15.0,25.0,186.0,2.0,124.66666666666669,1.25,7.75,41.58974358974359,3.2884615384615383,0.4807692307692307,0.7692307692307693,4.461538461538462,83.07692307692308,22,11.0,21.0,227.0,0.0,0.3853683668212262,0.023956723338485315,0.5,20.636363636363637,0.0,1.9090909090909092,False,False,False,True,False
Damian Williams,USC,77.0,2009.0,70.0,1010.0,6.0,2.0,16.0,0.0,84.16666666666667,0.5,5.833333333333333,17.320512820512832,1.3717948717948714,-0.1923076923076923,0.6923076923076923,4.461538461538462,66.84615384615384,22,16.0,16.0,219.0,0.0,0.37861748388064176,0.02624081571449992,0.4166666666666667,13.6875,0.0,1.0,False,False,True,False,False
Brandon LaFell,LSU,78.0,2009.0,57.0,792.0,11.0,5.0,13.0,0.0,60.92307692307692,0.8461538461538461,4.384615384615385,-10.538461538461547,-0.4615384615384608,0.2307692307692307,0.6153846153846154,4.846153846153846,71.46153846153847,23,14.0,38.0,468.0,1.0,0.3351104341203351,0.024117796395024118,0.5641025641025641,33.42857142857143,0.07142857142857142,2.7142857142857144,False,False,False,False,True
Emmanuel Sanders,SMU,82.0,2009.0,98.0,1339.0,7.0,1.0,6.0,0.0,103.0,0.5384615384615384,7.538461538461538,7.200000000000003,0.8384615384615381,-0.3615384615384616,0.9,6.7,95.8,23,13.0,28.0,376.0,2.0,0.36524822695035464,0.02673213311511184,0.3167420814479638,28.923076923076923,0.15384615384615385,2.1538461538461537,True,False,False,False,False
Jordan Shipley,Texas,84.0,2009.0,116.0,1485.0,13.0,1.0,0.0,0.0,106.07142857142856,0.9285714285714286,8.285714285714286,24.53296703296704,1.4395604395604409,0.0824175824175824,0.8461538461538461,6.846153846153846,81.53846153846153,24,15.0,52.0,600.0,3.0,0.3876879699248119,0.03028404344193818,0.4421768707482993,40.0,0.2,3.466666666666667,False,False,False,False,True
Eric Decker,Minnesota,87.0,2009.0,50.0,758.0,5.0,0.0,0.0,0.0,94.75,0.625,6.25,5.25,-0.75,0.0416666666666666,0.5833333333333334,7.0,89.5,23,14.0,6.0,106.0,1.0,0.4577294685990338,0.030193236714975844,0.5208333333333334,7.571428571428571,0.07142857142857142,0.42857142857142855,False,False,True,False,False
Andre Roberts,The Citadel,88.0,2009.0,50.0,758.0,5.0,0.0,0.0,0.0,94.75,0.625,6.25,5.25,-0.75,0.0416666666666666,0.5833333333333334,7.0,89.5,22,15.0,24.0,307.0,2.0,0.4577294685990338,0.030193236714975844,0.5208333333333334,20.466666666666665,0.13333333333333333,1.6,False,False,False,True,False
Armanti Edwards,Appalachian St.,89.0,2009.0,50.0,758.0,5.0,0.0,0.0,0.0,94.75,0.625,6.25,5.25,-0.75,0.0416666666666666,0.5833333333333334,7.0,89.5,22,3.0,0.0,0.0,0.0,0.4577294685990338,0.030193236714975844,0.5208333333333334,0.0,0.0,0.0,False,False,False,True,False
Taylor Price,Ohio,90.0,2009.0,56.0,784.0,5.0,11.0,103.0,0.0,56.0,0.3571428571428571,4.0,-1.833333333333336,-0.25,-0.0595238095238095,0.4166666666666667,4.25,57.833333333333336,22,1.0,3.0,41.0,0.0,0.2826855123674912,0.020191822311963654,0.22321428571428567,41.0,0.0,3.0,False,False,False,True,False
Mardy Gilyard,Cincinnati,99.0,2009.0,87.0,1191.0,11.0,5.0,16.0,1.0,91.6153846153846,0.8461538461538461,6.6923076923076925,0.4725274725274744,0.9065934065934068,0.0604395604395604,0.7857142857142857,5.785714285714286,91.14285714285714,23,11.0,6.0,63.0,0.0,0.2966819449980071,0.02167198086887206,0.28205128205128205,5.7272727272727275,0.0,0.5454545454545454,False,True,False,False,False
Mike Williams,Syracuse,101.0,2009.0,49.0,746.0,6.0,1.0,-7.0,0.0,106.57142857142856,0.8571428571428571,7.0,36.82142857142857,2.0,0.0238095238095237,0.8333333333333334,5.0,69.75,23,16.0,65.0,964.0,11.0,0.5229216318519556,0.03434739941118744,0.6593406593406593,60.25,0.6875,4.0625,True,False,False,False,False
Marcus Easley,Connecticut,107.0,2009.0,48.0,893.0,8.0,1.0,11.0,0.0,68.6923076923077,0.6153846153846154,3.692307692307693,60.14685314685315,3.3286713286713288,0.6153846153846154,0.0,0.3636363636363636,8.545454545454545,22,16.0,2.0,13.0,0.0,0.3172854858767099,0.01705453899449281,0.5128205128205129,0.8125,0.0,0.125,False,False,False,True,False
