name,age,position,school,draft_pick,season,games,pass_cmp,pass_att,cmp%,yds,TDs,TD%,Int,Int%,Rating,Rush Attempts,Rush Yards,Rush TDs,passCMP,passingYDS,passingTDS,passingINT,rushingYDS,rushingTDS
Jameis Winston,21,QB,Florida St.,1,2013,16,257,384,384.0,4057,40,10.4,10,2.6,184.8,88,219,4.0,58.3,4042.0,22.0,15.0,213.0,6.0
Jameis Winston,21,QB,Florida St.,1,2014,16,305,467,467.0,3907,25,5.4,18,3.9,145.5,57,65,3.0,58.3,4042.0,22.0,15.0,213.0,6.0
Marcus Mariota,21,QB,Oregon,2,2012,12,230,336,336.0,2677,32,9.5,6,1.8,163.2,106,752,5.0,62.2,2818.0,19.0,10.0,252.0,2.0
Marcus Mariota,21,QB,Oregon,2,2013,12,245,386,386.0,3665,31,8.0,4,1.0,167.7,96,715,9.0,62.2,2818.0,19.0,10.0,252.0,2.0
Marcus Mariota,21,QB,Oregon,2,2014,12,304,445,445.0,4454,42,9.4,4,0.9,181.7,135,770,15.0,62.2,2818.0,19.0,10.0,252.0,2.0
Garrett Grayson,24,QB,Colorado St.,75,2011,4,43,77,77.0,542,2,2.6,6,7.8,108.0,47,193,1.0,,,,,,
Garrett Grayson,24,QB,Colorado St.,75,2012,6,78,138,138.0,946,7,5.1,3,2.2,126.5,39,17,1.0,,,,,,
Garrett Grayson,24,QB,Colorado St.,75,2013,14,297,478,478.0,3696,23,4.8,11,2.3,138.4,69,119,2.0,,,,,,
Garrett Grayson,24,QB,Colorado St.,75,2014,13,270,420,420.0,4006,32,7.6,7,1.7,166.2,57,-46,0.0,,,,,,
Sean Mannion,23,QB,Oregon St.,89,2011,1,305,473,473.0,3328,16,3.4,18,3.8,127.1,32,-190,1.0,85.7,31.0,0.0,0.0,-1.0,0.0
Sean Mannion,23,QB,Oregon St.,89,2012,1,200,309,309.0,2446,15,4.9,13,4.2,138.8,18,-85,0.0,85.7,31.0,0.0,0.0,-1.0,0.0
