name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS,rushingYDS,rushingTDS
Todd Gurley,21,RB,Georgia,10,2012*,13,222,1385,17,21,188,0,1106.0,10.0
Todd Gurley,21,RB,Georgia,10,2013*,13,165,989,10,21,188,0,1106.0,10.0
Todd Gurley,21,RB,Georgia,10,2014*,13,123,911,9,21,188,0,1106.0,10.0
Melvin Gordon,22,RB,Wisconsin,15,2011*,14,20,98,1,33,192,0,641.0,0.0
Melvin Gordon,22,RB,Wisconsin,15,2012*,14,62,621,3,33,192,0,641.0,0.0
Melvin Gordon,22,RB,Wisconsin,15,2013*,14,206,1609,12,33,192,0,641.0,0.0
Melvin Gordon,22,RB,Wisconsin,15,2014*,14,343,2587,29,33,192,0,641.0,0.0
T.J. Yeldon,21,RB,Alabama,36,2012*,12,175,1108,12,36,279,1,740.0,2.0
T.J. Yeldon,21,RB,Alabama,36,2013*,12,207,1235,14,36,279,1,740.0,2.0
T.J. Yeldon,21,RB,Alabama,36,2014*,12,194,979,11,36,279,1,740.0,2.0
Ameer Abdullah,22,RB,Nebraska,54,2011*,16,42,150,3,25,183,1,597.0,2.0
Ameer Abdullah,22,RB,Nebraska,54,2012*,16,226,1137,8,25,183,1,597.0,2.0
Ameer Abdullah,22,RB,Nebraska,54,2013*,16,281,1690,9,25,183,1,597.0,2.0
Ameer Abdullah,22,RB,Nebraska,54,2014*,16,264,1611,19,25,183,1,597.0,2.0
Tevin Coleman,22,RB,Indiana,73,2012,12,51,225,1,2,14,0,392.0,1.0
Tevin Coleman,22,RB,Indiana,73,2013,12,131,958,12,2,14,0,392.0,1.0
Tevin Coleman,22,RB,Indiana,73,2014,12,270,2036,15,2,14,0,392.0,1.0
Duke Johnson,21,RB,Miami (FL),77,2012,16,139,947,10,61,534,2,379.0,0.0
Duke Johnson,21,RB,Miami (FL),77,2013*,16,145,920,6,61,534,2,379.0,0.0
Duke Johnson,21,RB,Miami (FL),77,2014*,16,242,1652,10,61,534,2,379.0,0.0
Matt Jones,22,RB,Florida,95,2012*,13,52,275,3,19,304,1,490.0,3.0
