name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS
Amari Cooper,21,WR,Alabama,4,2012*,16,72,1070,6,0,0,0
Amari Cooper,21,WR,Alabama,4,2013*,16,72,1070,6,1,28,0
Amari Cooper,21,WR,Alabama,4,2014*,16,72,1070,6,5,23,0
Kevin White,23,WR,West Virginia,7,2013,4,19,187,0,0,0,0
Kevin White,23,WR,West Virginia,7,2014*,4,19,187,0,0,0,0
DeVante Parker,22,WR,Louisville,14,2011*,14,26,494,3,0,0,0
DeVante Parker,22,WR,Louisville,14,2012*,14,26,494,3,0,0,0
DeVante Parker,22,WR,Louisville,14,2013*,14,26,494,3,0,0,0
DeVante Parker,22,WR,Louisville,14,2014*,14,26,494,3,0,0,0
Nelson Agholor,22,WR,USC,20,2012*,13,23,283,1,1,7,0
Nelson Agholor,22,WR,USC,20,2013*,13,23,283,1,2,8,0
Nelson Agholor,22,WR,USC,20,2014*,13,23,283,1,4,3,0
Breshad Perriman,21,WR,Central Florida,26,2012*,16,33,499,3,0,0,0
Breshad Perriman,21,WR,Central Florida,26,2013*,16,33,499,3,0,0,0
Breshad Perriman,21,WR,Central Florida,26,2014*,16,33,499,3,1,0,0
Phillip Dorsett,22,WR,Miami (FL),29,2011,11,18,225,1,0,0,0
Phillip Dorsett,22,WR,Miami (FL),29,2012,11,18,225,1,5,8,0
Phillip Dorsett,22,WR,Miami (FL),29,2013*,11,18,225,1,0,0,0
Phillip Dorsett,22,WR,Miami (FL),29,2014*,11,18,225,1,2,-6,0
Devin Smith,23,WR,Ohio St.,37,2011*,10,9,115,1,0,0,0
Devin Smith,23,WR,Ohio St.,37,2012,10,9,115,1,1,2,0
Devin Smith,23,WR,Ohio St.,37,2013*,10,9,115,1,0,0,0
Devin Smith,23,WR,Ohio St.,37,2014*,10,9,115,1,0,0,0
Dorial Green-Beckham,22,WR,Oklahoma,40,2012,16,32,549,4,5,16,0
Dorial Green-Beckham,22,WR,Oklahoma,40,2013*,16,32,549,4,1,3,0
