name,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL,YPC,YPG,TDPG,RPG,Team_RPG,Team_YPG,Team_TDPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG
A.J. Green,WR,Georgia,4,2010,9,57,848,9,3,44,0,/cfb/schools/georgia/2010.html,14.87719298245614,94.22222222222223,1.0,6.333333333333333,16.8,242.4,1.9,13.422222222222231,1.0333333333333332,0.4,0.6,5.3,80.8
A.J. Jenkins,WR,Illinois,30,2011,13,90,1276,8,5,26,0,/cfb/schools/illinois/2011.html,14.177777777777777,98.15384615384616,0.6153846153846154,6.923076923076923,17.4,184.0,1.1,40.769230769230774,2.615384615384616,0.07692307692307698,0.5384615384615384,4.3076923076923075,57.38461538461539
Aaron Dobson,WR,Marshall,59,2012,10,57,679,3,0,0,0,/cfb/schools/marshall/2012.html,11.912280701754385,67.9,0.3,5.7,35.3,365.1,3.3,16.51538461538462,1.930769230769231,-0.6230769230769231,0.9230769230769231,3.769230769230769,51.38461538461539
Ace Sanders,WR,South Carolina,101,2012,13,45,531,9,3,1,0,/cfb/schools/south-carolina/2012.html,11.8,40.84615384615385,0.6923076923076923,3.4615384615384617,17.3,238.1,2.2,11.384615384615387,1.2307692307692308,0.5384615384615384,0.15384615384615385,2.230769230769231,29.46153846153846
Aldrick Robinson,WR,SMU,178,2010,14,65,1301,14,0,0,0,/cfb/schools/southern-methodist/2010.html,20.015384615384615,92.92857142857143,1.0,4.642857142857143,21.7,275.8,2.2,31.39010989010989,1.0274725274725278,0.6153846153846154,0.38461538461538464,3.6153846153846154,61.53846153846154
Allen Robinson,WR,Penn St.,61,2013,12,97,1432,6,6,36,0,/cfb/schools/penn-state/2013.html,14.762886597938145,119.33333333333333,0.5,8.083333333333334,20.1,259.2,1.8,34.5,1.666666666666667,-0.41666666666666663,0.9166666666666666,6.416666666666667,84.83333333333333
Alshon Jeffery,WR,South Carolina,45,2011,13,49,762,8,0,0,0,/cfb/schools/south-carolina/2011.html,15.551020408163266,58.61538461538461,0.6153846153846154,3.769230769230769,14.7,181.5,1.5,-49.74175824175825,-2.5164835164835164,-0.027472527472527486,0.6428571428571429,6.285714285714286,108.35714285714286
Andre Roberts,WR,The Citadel,88,2009,8,50,758,5,0,0,0,/cfb/schools/minnesota/2009.html,15.16,94.75,0.625,6.25,15.3,207.0,1.2,5.25,-0.75,0.04166666666666663,0.5833333333333334,7.0,89.5
Antonio Brown,WR,Central Michigan,195,2009,14,110,1198,9,42,341,3,/cfb/schools/central-michigan/2009.html,10.89090909090909,85.57142857142857,0.6428571428571429,7.857142857142857,23.5,255.5,2.0,8.802197802197796,0.7032967032967026,0.10439560439560447,0.5384615384615384,7.153846153846154,76.76923076923077
Armanti Edwards,WR,Appalachian St.,89,2009,8,50,758,5,0,0,0,/cfb/schools/minnesota/2009.html,15.16,94.75,0.625,6.25,15.3,207.0,1.2,5.25,-0.75,0.04166666666666663,0.5833333333333334,7.0,89.5
Arrelious Benn,WR,Illinois,39,2009,12,38,490,2,7,23,1,/cfb/schools/illinois/2009.html,12.894736842105264,40.833333333333336,0.16666666666666666,3.1666666666666665,15.3,193.1,1.3,-47.083333333333336,-2.4166666666666665,-0.08333333333333334,0.25,5.583333333333333,87.91666666666667
Austin Pettis,WR,Boise St.,78,2010,13,71,951,10,0,0,0,/cfb/schools/boise-state/2010.html,13.394366197183098,73.15384615384616,0.7692307692307693,5.461538461538462,23.0,321.1,2.9,7.384615384615387,0.6153846153846159,-0.3076923076923076,1.0769230769230769,4.846153846153846,65.76923076923077
B.J. Cunningham,WR,Michigan St.,183,2011,14,79,1306,12,3,26,0,/cfb/schools/michigan-state/2011.html,16.531645569620252,93.28571428571429,0.8571428571428571,5.642857142857143,20.6,252.5,1.9,42.36904761904763,1.4761904761904763,0.1071428571428571,0.75,4.166666666666667,50.916666666666664
Brandin Cooks,WR,Oregon St.,20,2013,13,128,1730,16,32,217,2,/cfb/schools/oregon-state/2013.html,13.515625,133.07692307692307,1.2307692307692308,9.846153846153847,31.8,372.6,2.9,44.53846153846153,4.6923076923076925,0.8461538461538463,0.38461538461538464,5.153846153846154,88.53846153846153
Brandon LaFell,WR,LSU,78,2009,13,57,792,11,5,13,0,/cfb/schools/louisiana-state/2009.html,13.894736842105264,60.92307692307692,0.8461538461538461,4.384615384615385,15.2,181.8,1.5,-10.538461538461547,-0.4615384615384608,0.23076923076923073,0.6153846153846154,4.846153846153846,71.46153846153847
Brice Butler,WR,San Diego St.,209,2012,13,24,347,4,0,0,0,/cfb/schools/san-diego-state/2012.html,14.458333333333334,26.692307692307693,0.3076923076923077,1.8461538461538463,14.0,175.9,1.6,13.055944055944057,0.7552447552447554,0.3076923076923077,0.0,1.0909090909090908,13.636363636363637
Bruce Ellington,WR,South Carolina,106,2013,12,49,775,8,3,14,0,/cfb/schools/south-carolina/2013.html,15.816326530612244,64.58333333333333,0.6666666666666666,4.083333333333333,18.4,253.8,2.3,18.429487179487175,1.006410256410256,0.1282051282051282,0.5384615384615384,3.076923076923077,46.15384615384615
Carlton Mitchell,WR,South Florida,177,2009,11,40,706,4,0,0,0,/cfb/schools/south-florida/2009.html,17.65,64.18181818181819,0.36363636363636365,3.6363636363636362,12.9,194.7,1.5,33.027972027972034,1.4825174825174825,0.2867132867132867,0.07692307692307693,2.1538461538461537,31.153846153846153
Cecil Shorts,WR,Mount Union,114,2010,14,119,1889,14,0,0,0,/cfb/schools/hawaii/2010.html,15.873949579831933,134.92857142857142,1.0,8.5,28.1,394.3,3.0,12.62087912087911,0.3461538461538467,0.3846153846153846,0.6153846153846154,8.153846153846153,122.3076923076923
Charles Johnson,WR,Grand Valley St.,216,2012,12,23,208,5,2,1,1,/cfb/schools/wake-forest/2012.html,9.043478260869565,17.333333333333332,0.4166666666666667,1.9166666666666667,19.9,200.8,1.1,13.025641025641026,1.2243589743589745,0.33974358974358976,0.07692307692307693,0.6923076923076923,4.3076923076923075
